ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	1	30	60	94	101	372	149	0.0316420880579	0.058543644043788194	0.167	0.272	-0.105
2	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	2	12240	86	2534	29	2403	149	0.076247926352	0.1250762420396199	0.898	0.844	0.054
13	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	13	58	141	313	359	2371	149	0.000568001070904	0.0018663109829833084	0.025	0.052	-0.027
14	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	14	184	169	438	238	817	149	0.00658256179054	0.015335753619371563	0.166	0.251	-0.085
15	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	15	73	197	396	326	1730	149	8.27670953996e-09	1.0869442470777441e-07	0.031	0.095	-0.064
17	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251	17	17	20	20	28	273	149	0.709579265378	0.8138818807771322	0.317	0.28	0.037
24	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762	24	51	158	31	274	1121	149	0.000212364838476	0.0007978125053051376	0.041	0.015	0.026
25	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562	25	87	62	85	161	363	149	0.00012149087841	0.0004965326752595247	0.365	0.178	0.187
37	"ENSG00000275464"	"FP565260.1"	chr21	-	5139697	5141103	5139697	5139878	5140952	5141103	37	1	29	0	48	1223	149	1	1.0	0.004	0.0	0.004
40	"ENSG00000100299"	"ARSA"	chr22	-	50627555	50628170	50627555	50627792	50627945	50628170	40	124	44	616	86	302	149	0.00030016365256	0.0010719794394325392	0.582	0.779	-0.197
41	"ENSG00000025770"	"NCAPH2"	chr22	+	50523016	50523472	50523016	50523166	50523234	50523472	41	18	253	7	272	217	149	0.0203458066868	0.04005003933984778	0.047	0.017	0.03
42	"ENSG00000100241"	"SBF1"	chr22	-	50447321	50447609	50447321	50447453	50447521	50447609	42	11	313	23	191	217	149	0.0014523094085	0.00422616473469636	0.024	0.076	-0.052
45	"ENSG00000205593"	"DENND6B"	chr22	-	50313813	50314272	50313813	50313878	50314206	50314272	45	28	5	54	67	477	149	4.60194580514e-05	0.00021034169542650933	0.636	0.201	0.435
46	"ENSG00000128159"	"TUBGCP6"	chr22	-	50217917	50218402	50217917	50218117	50218188	50218402	46	50	215	114	126	220	149	1.95850720086e-08	2.3548594496883957e-07	0.136	0.38	-0.244
47	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219287	50219791	50219287	50219456	50219643	50219791	47	23	98	137	97	336	149	2.21947682455e-10	4.045662355789739e-09	0.094	0.385	-0.291
48	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50220191	50221874	48	271	0	393	9	325	149	0.00704351953769	0.01622987106987426	1.0	0.952	0.048
49	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50220250	50221874	49	297	2	501	7	384	149	0.231458455954	0.3207895936077792	0.983	0.965	0.018
50	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50221274	50221874	50	829	0	1489	11	1408	149	0.00199355777117	0.00551252594855685	1.0	0.935	0.065
51	"ENSG00000170638"	"TRABD"	chr22	+	50197822	50198186	50197822	50197995	50198074	50198186	51	109	333	270	365	228	149	2.75435909519e-05	0.00013496359566431	0.176	0.326	-0.15
54	"ENSG00000231711"	"LINC00899"	chr22	-	46042573	46043699	46042573	46042640	46043562	46043699	54	34	11	87	0	1071	149	2.27784107132e-08	2.682202005686108e-07	0.301	1.0	-0.699
56	"ENSG00000100417"	"PMM1"	chr22	-	41583958	41584372	41583958	41584058	41584280	41584372	56	301	320	200	220	371	149	0.853157734918	0.9436504364129431	0.274	0.267	0.007
57	"ENSG00000100395"	"L3MBTL2"	chr22	+	41217122	41219536	41217122	41217202	41219418	41219536	57	0	20	69	38	2365	149	3.33127723184e-08	3.785693352991242e-07	0.0	0.103	-0.103
