ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	21056	21159	20006	20221	22932	23113
3	"ENSG00000160305"	"DIP2A"	chr21	+	46498581	46498833	46496987	46497107	46504360	46504489
10	"ENSG00000183570"	"PCBP3"	chr21	+	45735391	45735429	45673554	45673735	45744230	45744337
46	"ENSG00000160207"	"HSF2BP"	chr21	-	43613829	43613947	43592224	43592328	43630321	43630454
49	"ENSG00000160194"	"NDUFV3"	chr21	+	42896926	42897047	42893267	42893381	42908863	42913304
73	"ENSG00000157617"	"C2CD2"	chr21	-	41899052	41899347	41885111	41889344	41901621	41901652
74	"ENSG00000157617"	"C2CD2"	chr21	-	41899052	41899362	41885111	41889344	41901621	41901749
99	"ENSG00000205622"	"AP001042.1"	chr21	-	38880591	38880708	38871243	38871594	38893960	38894285
100	"ENSG00000205622"	"AP001042.1"	chr21	-	38880591	38880708	38871243	38871594	38901900	38901965
101	"ENSG00000205622"	"AP001042.1"	chr21	-	38880591	38880708	38876087	38877592	38901900	38901965
104	"ENSG00000205622"	"AP001042.1"	chr21	-	38893960	38894285	38871243	38871594	38901900	38901965
118	"ENSG00000182670"	"TTC3"	chr21	+	37129002	37129063	37126079	37126143	37132681	37132766
120	"ENSG00000182670"	"TTC3"	chr21	+	37150819	37150884	37150077	37150170	37151892	37151958
121	"ENSG00000182670"	"TTC3"	chr21	+	37152950	37153277	37151892	37152029	37156654	37156906
122	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37156654	37156906	37158130	37158203
125	"ENSG00000182670"	"TTC3"	chr21	+	37158130	37158203	37157160	37157214	37159698	37159745
126	"ENSG00000182670"	"TTC3"	chr21	+	37164050	37164215	37161989	37162063	37167554	37167620
127	"ENSG00000182670"	"TTC3"	chr21	+	37165549	37166615	37164050	37164215	37167554	37167620
128	"ENSG00000182670"	"TTC3"	chr21	+	37182773	37182913	37172594	37172744	37185705	37185774
130	"ENSG00000182670"	"TTC3"	chr21	+	37194965	37195017	37192111	37192213	37195674	37196036
131	"ENSG00000182670"	"TTC3"	chr21	+	37197881	37198025	37197569	37197696	37200231	37200324
132	"ENSG00000159267"	"HLCS"	chr21	-	36936448	36937392	36930250	36930433	36962035	36962170
133	"ENSG00000159267"	"HLCS"	chr21	-	36938831	36938994	36936448	36937392	36962035	36962170
139	"ENSG00000185917"	"SETD4"	chr21	-	36053582	36053620	36048307	36048396	36057108	36057204
147	"ENSG00000243927"	"MRPS6"	chr21	+	34125340	34125480	34073577	34073745	34142407	34143030
152	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33903934	33904021	33912288	33912399
154	"ENSG00000159131"	"GART"	chr21	-	33505973	33506104	33505560	33505702	33509782	33509920
155	"ENSG00000159131"	"GART"	chr21	-	33520363	33520562	33517356	33517608	33520905	33521015
156	"ENSG00000159131"	"GART"	chr21	-	33528166	33528335	33524008	33525000	33528518	33528604
158	"ENSG00000159131"	"GART"	chr21	-	33539170	33539323	33535224	33535320	33542064	33542363
159	"ENSG00000159131"	"GART"	chr21	-	33539170	33539356	33535224	33535320	33542064	33542079
160	"ENSG00000231355"	"AP000302.1"	chr21	-	33483005	33483059	33482498	33482588	33483736	33484258
167	"ENSG00000159086"	"PAXBP1"	chr21	-	32743247	32743314	32738172	32738319	32743677	32743754
169	"ENSG00000159086"	"PAXBP1"	chr21	-	32761058	32761162	32759401	32759994	32762095	32762317
196	"ENSG00000142207"	"URB1"	chr21	-	32345373	32345575	32344569	32344756	32346955	32347811
