ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	1	0	12	5	13	298	149	0.00486285759861	0.024562416737196984	0.0	0.161	-0.161
2	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	2	1	0	30	1	298	149	0.245794794862	0.4350601219775834	1.0	0.938	0.062
11	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38905423	38904229	38904483	38904954	38905423	11	64	0	33	1	298	149	0.286964710929	0.4814713596762802	1.0	0.943	0.057
14	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	14	0	4	6	54	298	149	0.0658459553904	0.16815837125513786	0.0	0.053	-0.053
15	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	15	0	3	2	59	298	149	0.537583326297	0.7098091289352428	0.0	0.017	-0.017
16	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37087832	37087875	37088195	37088346	16	2	129	2	14	298	149	0.42803533529	0.6197248555891287	0.008	0.067	-0.059
17	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251	17	4	1	3	2	273	149	0.394642564818	0.5893660283973452	0.686	0.45	0.236
23	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29066890	29067071	23	11	531	8	169	262	149	0.143736711599	0.3000072644494328	0.012	0.026	-0.014
24	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762	24	9	48	2	15	298	149	0.483283789931	0.6689057867002541	0.086	0.062	0.024
25	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562	25	16	15	5	15	298	149	0.0448535606652	0.12775430106496374	0.348	0.143	0.205
36	"ENSG00000275464"	"FP565260.1"	chr21	-	5135934	5137474	5135934	5136043	5137326	5137474	36	0	7	1	16	298	149	0.32262970272	0.5145115491421027	0.0	0.03	-0.03
55	"ENSG00000184208"	"C22orf46"	chr22	+	41693462	41698136	41693462	41693851	41693937	41698136	55	2	0	3	7	235	149	0.000320996447278	0.00362545338072858	1.0	0.214	0.786
58	"ENSG00000100395"	"L3MBTL2"	chr22	+	41227088	41227869	41227088	41227323	41227803	41227869	58	1	0	2	34	298	149	0.00216727862839	0.013898453783951792	1.0	0.029	0.971
62	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38740266	38740432	38741006	38741050	62	2	2	26	67	298	149	0.85932233297	0.9507938790155768	0.333	0.163	0.17
64	"ENSG00000100201"	"DDX17"	chr22	-	38487878	38492115	38487878	38488115	38492055	38492115	64	85	321	174	336	298	149	0.00115242532919	0.008895496106084942	0.117	0.206	-0.089
71	"ENSG00000100365"	"NCF4"	chr22	+	36875652	36876094	36875652	36875783	36876028	36876094	71	0	2	3	1	298	149	0.00240289052811	0.01521636259184221	0.0	0.6	-0.6
81	"ENSG00000198832"	"SELENOM"	chr22	-	31105929	31107533	31105929	31105965	31107376	31107533	81	2	0	0	14	298	149	6.74048827409e-06	0.0001776356960313213	1.0	0.0	1.0
87	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291561	29291599	87	5	1	24	7	298	149	0.608595429354	0.7704150777217789	0.714	0.632	0.082
88	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291564	29291599	88	7	4	26	11	298	149	0.633797822868	0.7915646337303073	0.467	0.542	-0.075
89	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299280	29298732	29298895	29299194	29299280	89	2	0	10	5	298	149	0.00192414610002	0.012998749364277055	1.0	0.5	0.5
90	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299851	29298732	29299280	29299598	29299851	90	1	0	41	4	298	149	0.0156210818071	0.058388828703042836	1.0	0.837	0.163
91	"ENSG00000235954"	"TTC28-AS1"	chr22	+	27997410	27998152	27997410	27997739	27997985	27998152	91	7	3	5	3	298	149	0.70868298583	0.8454293141428761	0.538	0.455	0.083
99	"ENSG00000100031"	"GGT1"	chr22	+	24610249	24610531	24610249	24610336	24610413	24610531	99	9	0	309	8	226	149	0.0978326344557	0.22528273900699142	1.0	0.962	0.038
