ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	1	12	10	15,14	13,22	372	149	0.495238213666	0.7187528056745487	0.325	0.316,0.203	0.066
11	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38905423	38904229	38904483	38904954	38905423	11	28	0	317,515	0,2	620	149	1	1.0	1.0	1.0,0.984	0.008
15	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	15	0	7	4,0	6,11	1730	149	0.522663442444	0.7478576687049526	0.0	0.054,0.0	-0.027
16	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37087832	37087875	37088195	37088346	16	14	45	21,20	62,35	469	149	0.381456980106	0.6031392636705474	0.09	0.097,0.154	-0.036
17	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251	17	10	2	21,7	0,2	273	149	0.120776698805	0.26125788470927475	0.732	1.0,0.656	-0.096
18	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33906448	33906500	33907340	33907453	18	33	1	29,14	0,0	989	149	0.781781669107	0.9438934507991263	0.833	1.0,1.0	-0.167
20	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32573283	32574676	32573283	32573368	32574575	32574676	20	2	2	8,4	0,0	1356	149	4.34361441592e-06	8.15087859396136e-05	0.099	1.0,1.0	-0.901
21	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32573283	32574676	32573283	32574124	32574575	32574676	21	2	0	8,2	2,0	600	149	0.453735932498	0.6802582390726745	1.0	0.498,1.0	0.251
23	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29066890	29067071	23	9	289	22,12	110,75	262	149	1.85521441698e-06	3.9685456224093914e-05	0.017	0.102,0.083	-0.075
24	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762	24	106	65	477,484	32,42	1121	149	0	0.0	0.178	0.665,0.605	-0.457
25	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562	25	47	17	101,151	13,27	363	149	0.0214479920671	0.06867079455756964	0.532	0.761,0.697	-0.197
57	"ENSG00000100395"	"L3MBTL2"	chr22	+	41217122	41219536	41217122	41217202	41219418	41219536	57	20	6	28,24	6,4	2365	149	0.438824741477	0.6639726483034875	0.174	0.227,0.274	-0.077
58	"ENSG00000100395"	"L3MBTL2"	chr22	+	41227088	41227869	41227088	41227323	41227803	41227869	58	1	1	2,2	0,0	629	149	0.00642004981747	0.027409716368196762	0.192	1.0,1.0	-0.808
62	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38740266	38740432	38741006	38741050	62	18	8	30,10	8,2	723	149	0.295452906322	0.5047320483000833	0.317	0.436,0.507	-0.155
64	"ENSG00000100201"	"DDX17"	chr22	-	38487878	38492115	38487878	38488115	38492055	38492115	64	3568	243	10170,4541	83,90	4089	149	1.11100018074e-12	1.224889819204e-10	0.349	0.817,0.648	-0.383
71	"ENSG00000100365"	"NCF4"	chr22	+	36875652	36876094	36875652	36875783	36876028	36876094	71	0	2	2,0	3,6	394	149	0.796609342566	0.9540073896457509	0.0	0.201,0.0	-0.101
81	"ENSG00000198832"	"SELENOM"	chr22	-	31105929	31107533	31105929	31105965	31107376	31107533	81	4	0	13,1	0,2	1560	149	0.00507629377807	0.0230897060598808	1.0	1.0,0.046	0.477
85	"ENSG00000186575"	"NF2"	chr22	+	29683019	29683915	29683019	29683064	29683700	29683915	85	6	1	21,11	0,0	785	149	0.0556510289716	0.14385449870767356	0.532	1.0,1.0	-0.468
87	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291561	29291599	87	1362	3	1694,1010	3,4	2924	149	0.778844155381	0.9411166380207582	0.959	0.966,0.928	0.012
88	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291564	29291599	88	1364	2	1697,1011	7,0	2927	149	0.567290632898	0.7836415293939616	0.972	0.925,1.0	0.009
89	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299280	29298732	29298895	29299194	29299280	89	22	2	35,36	0,0	448	149	0.0528408663481	0.1386544332974144	0.785	1.0,1.0	-0.215
90	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299851	29298732	29299280	29299598	29299851	90	9	1	8,15	0,0	467	149	0.281603296592	0.4898776984098624	0.742	1.0,1.0	-0.258
91	"ENSG00000235954"	"TTC28-AS1"	chr22	+	27997410	27998152	27997410	27997739	27997985	27998152	91	4	0	15,16	4,0	395	149	0.0137506350488	0.04914270540442808	1.0	0.586,1.0	0.207
96	"ENSG00000100099"	"HPS4"	chr22	-	26465454	26466262	26465454	26465551	26466225	26466262	96	7	1	50,43	2,0	823	149	0.293346007256	0.5024605243710887	0.559	0.819,1.0	-0.35
97	"ENSG00000100099"	"HPS4"	chr22	-	26466225	26468623	26466225	26466262	26468550	26468623	97	42	2	112,44	0,0	2437	149	0.00286556168267	0.014762893695011936	0.562	1.0,1.0	-0.438
103	"ENSG00000100014"	"SPECC1L"	chr22	+	24321287	24322918	24321287	24321323	24321404	24322918	103	46	2	106,56	0,2	230	149	0.193432539964	0.37369932136274164	0.937	1.0,0.948	-0.037
141	"ENSG00000182902"	"SLC25A18"	chr22	+	17579744	17581159	17579744	17579964	17581036	17581159	141	237	0	227,74	2,2	1221	149	0.0544310904213	0.1414441715877444	1.0	0.933,0.819	0.124
142	"ENSG00000093072"	"ADA2"	chr22	-	17189941	17191810	17189941	17190032	17191682	17191810	142	2	14	4,8	13,14	1799	149	0.0956372777234	0.21987635813043363	0.012	0.025,0.045	-0.023
145	"ENSG00000100359"	"SGSM3"	chr22	+	40408793	40409372	40408793	40408842	40408932	40409372	145	1	0	0,0	6,6	239	149	2.7666024654e-05	0.00035508741208090436	1.0	0.0,0.0	1.0
146	"ENSG00000100359"	"SGSM3"	chr22	+	40408932	40409372	40408932	40409018	40409249	40409372	146	2	0	8,4	2,0	380	149	0.599906805743	0.8101211759164392	1.0	0.611,1.0	0.195
148	"ENSG00000233215"	"LINC01687"	chr21	-	22062008	22062648	22062008	22062165	22062553	22062648	148	95	11	5,3	2,2	537	149	0.0441825061268	0.12155336261539011	0.706	0.41,0.294	0.354
149	"ENSG00000012817"	"KDM5D"	chrY	-	19706440	19706863	19706440	19706640	19706793	19706863	149	3	6	0,9	2,4	302	149	0.812437782774	0.9643411076593679	0.198	0.0,0.526	-0.065
153	"ENSG00000099326"	"MZF1"	chr19	-	58570343	58571429	58570343	58570527	58570993	58571429	153	2	2	0,6	0,0	615	149	1	1.0	0.195	NA,1.0	-0.805
154	"ENSG00000130724"	"CHMP2A"	chr19	-	58551565	58551967	58551565	58551776	58551905	58551967	154	0	10	0,2	35,32	278	149	1	1.0	0.0	0.0,0.032	-0.016
157	"ENSG00000166770"	"ZNF667-AS1"	chr19	+	56494162	56495437	56494162	56494342	56495047	56495437	157	77	0	91,23	4,0	854	149	0.0238046764498	0.07499616315881494	1.0	0.799,1.0	0.101
158	"ENSG00000267454"	"ZNF582-AS1"	chr19	+	56398276	56399168	56398276	56398383	56398893	56399168	158	4	6	1,1	2,1	659	149	0.276506357357	0.48441944624205585	0.131	0.102,0.184	-0.012
161	"ENSG00000108107"	"RPL28"	chr19	+	55386569	55388048	55386569	55386693	55387929	55388048	161	44	0	34,30	1,0	1385	149	1	1.0	1.0	0.785,1.0	0.107
196	"ENSG00000142546"	"NOSIP"	chr19	-	49557089	49558978	49557089	49557249	49558896	49558978	196	3	2	10,14	0,2	1796	149	0.0356078200226	0.10308566820659294	0.111	1.0,0.367	-0.573
197	"ENSG00000142546"	"NOSIP"	chr19	-	49557089	49558978	49557089	49558199	49558896	49558978	197	3	0	2,8	2,0	846	149	0.0505018921957	0.13394571946244957	1.0	0.15,1.0	0.425
199	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490297	49489849	49489912	49490231	49490297	199	18	8	17,42	0,2	468	149	3.25765386521e-05	0.00040921677489786897	0.417	1.0,0.87	-0.518
200	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490297	49489849	49489922	49490231	49490297	200	17	84	17,42	88,95	458	149	0.145998035321	0.3027575621428483	0.062	0.059,0.126	-0.03
