ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45494861	45494915	45493500	45493575	45495357	45495432
11	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33909081	33909211	33903934	33904021	33912288	33912399
12	"ENSG00000166979"	"EVA1C"	chr21	+	32495026	32495170	32501414	32501495	32467695	32467848	32514813	32515389
16	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32607648	32607716	32609837	32610005	32604124	32604283	32612104	32612146
17	"ENSG00000142168"	"SOD1"	chr21	+	31663789	31663886	31666448	31666518	31659692	31659841	31667257	31667375
44	"ENSG00000248405"	"PRR5-ARHGAP8"	chr22	+	44714590	44714671	44725243	44725292	44702232	44702608	44726576	44726634
46	"ENSG00000100387"	"RBX1"	chr22	+	40953554	40953633	40964046	40964117	40951377	40951476	40967798	40967884
47	"ENSG00000100387"	"RBX1"	chr22	+	40953554	40953633	40967798	40967884	40951377	40951476	40972475	40973309
48	"ENSG00000100387"	"RBX1"	chr22	+	40964046	40964117	40967798	40967884	40953554	40953633	40972475	40973309
50	"ENSG00000100372"	"SLC25A17"	chr22	-	40784512	40784604	40792524	40792676	40779008	40779125	40794513	40794580
52	"ENSG00000100211"	"CBY1"	chr22	+	38656955	38657143	38665545	38665685	38656675	38656750	38668016	38668132
55	"ENSG00000100365"	"NCF4"	chr22	+	36864918	36865072	36867391	36867462	36860987	36861203	36870414	36870542
66	"ENSG00000100150"	"DEPDC5"	chr22	+	31876086	31876265	31879524	31879752	31874272	31874405	31893581	31893751
67	"ENSG00000100150"	"DEPDC5"	chr22	+	31876156	31876265	31879524	31879752	31874272	31874405	31893581	31893751
68	"ENSG00000185339"	"TCN2"	chr22	+	30612872	30613042	30614348	30614501	30610870	30611063	30615300	30615473
69	"ENSG00000185339"	"TCN2"	chr22	+	30612884	30613042	30614348	30614501	30610870	30611063	30615300	30615473
76	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744704	28745863	28746008	28743881	28743978	28751240	28751288
77	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744709	28745863	28746008	28743881	28743978	28751240	28751288
85	"ENSG00000178803"	"ADORA2A-AS1"	chr22	-	24471767	24471895	24474982	24475153	24441991	24442140	24494689	24494800
86	"ENSG00000228315"	"GUSBP11"	chr22	-	23686830	23686995	23690235	23690356	23683724	23683867	23694118	23695517
88	"ENSG00000100030"	"MAPK1"	chr22	-	21788256	21788388	21788693	21788808	21772872	21772982	21799011	21799128
94	"ENSG00000183878"	"UTY"	chrY	-	13358463	13358553	13359087	13359222	13357876	13357969	13359766	13359986
100	"ENSG00000170889"	"RPS9"	chr19	+	54201486	54201609	54206275	54206462	54201159	54201281	54207397	54207647
102	"ENSG00000105379"	"ETFB"	chr19	-	51350328	51350391	51353131	51353290	51346899	51347058	51354149	51354308
104	"ENSG00000204653"	"ASPDH"	chr19	-	50512660	50512810	50513271	50513416	50512359	50512580	50513771	50513913
106	"ENSG00000142552"	"RCN3"	chr19	+	49539118	49539179	49542552	49542752	49537032	49537205	49543105	49543633
107	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49489922	49490231	49490297	49487509	49487644	49490474	49490576
109	"ENSG00000104872"	"PIH1D1"	chr19	-	49448000	49448062	49449474	49449654	49447826	49447908	49450781	49450848
114	"ENSG00000142227"	"EMP3"	chr19	+	48326829	48326922	48327520	48327623	48325990	48326053	48329351	48329492
116	"ENSG00000105398"	"SULT2A1"	chr19	-	47874656	47874834	47879035	47879130	47870466	47871567	47882083	47882210
