ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	12800	12964	11706	11758	16870	16922
1	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	27336	27439	26290	26505	29278	29488
2	"ENSG00000160305"	"DIP2A"	chr21	+	46504360	46504489	46498581	46498833	46509256	46509376
3	"ENSG00000160305"	"DIP2A"	chr21	+	46559833	46559863	46558222	46558393	46560721	46560783
4	"ENSG00000160285"	"LSS"	chr21	-	46191065	46191235	46188140	46188821	46191880	46191959
5	"ENSG00000160285"	"LSS"	chr21	-	46191075	46191235	46188445	46188821	46191880	46193487
6	"ENSG00000183570"	"PCBP3"	chr21	+	45668873	45668952	45643724	45643868	45735391	45735429
7	"ENSG00000183570"	"PCBP3"	chr21	+	45728675	45728748	45643693	45643868	45735391	45735429
8	"ENSG00000183570"	"PCBP3"	chr21	+	45744230	45744337	45735391	45735429	45749380	45749475
9	"ENSG00000183570"	"PCBP3"	chr21	+	45755416	45755452	45735391	45735429	45849960	45850095
10	"ENSG00000183570"	"PCBP3"	chr21	+	45913950	45914025	45910901	45911030	45917587	45917629
11	"ENSG00000183570"	"PCBP3"	chr21	+	45913950	45914094	45910901	45911030	45917587	45917629
12	"ENSG00000183570"	"PCBP3"	chr21	+	45929916	45929995	45917587	45917629	45935252	45935305
13	"ENSG00000183570"	"PCBP3"	chr21	+	45930785	45930845	45929916	45929995	45935252	45935305
14	"ENSG00000233922"	"LINC01694"	chr21	+	45595572	45595661	45593677	45593708	45596390	45597091
15	"ENSG00000182871"	"COL18A1"	chr21	+	45507560	45507593	45505834	45505966	45509355	45509601
16	"ENSG00000186866"	"POFUT2"	chr21	-	45266021	45266227	45263927	45265635	45267589	45267713
17	"ENSG00000186866"	"POFUT2"	chr21	-	45267589	45267713	45263928	45265635	45269838	45270019
18	"ENSG00000186866"	"POFUT2"	chr21	-	45277232	45277773	45277016	45277142	45278102	45278169
19	"ENSG00000186866"	"POFUT2"	chr21	-	45282348	45282459	45278102	45278169	45285677	45285928
20	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282348	45282459	45283382	45283527
21	"ENSG00000186866"	"POFUT2"	chr21	-	45283382	45283527	45282348	45282459	45285677	45285691
22	"ENSG00000186866"	"POFUT2"	chr21	-	45285268	45285328	45283351	45283527	45285677	45285928
23	"ENSG00000182586"	"LINC00334"	chr21	+	45243531	45243626	45234339	45234476	45258450	45258730
24	"ENSG00000160255"	"ITGB2"	chr21	-	44898541	44898613	44894970	44895060	44899066	44899162
25	"ENSG00000160255"	"ITGB2"	chr21	-	44903364	44903535	44901491	44901733	44906914	44907095
26	"ENSG00000160255"	"ITGB2"	chr21	-	44908073	44908182	44906914	44907095	44910283	44910372
27	"ENSG00000160255"	"ITGB2"	chr21	-	44920820	44920962	44910724	44910785	44928653	44928718
28	"ENSG00000160255"	"ITGB2"	chr21	-	44920820	44921050	44910724	44910785	44928653	44928873
29	"ENSG00000160224"	"AIRE"	chr21	+	44289227	44289416	44288344	44288458	44289656	44289802
30	"ENSG00000142182"	"DNMT3L"	chr21	-	44260794	44260839	44259631	44259711	44261153	44261266
31	"ENSG00000160223"	"ICOSLG"	chr21	-	44236866	44237217	44235271	44235562	44238447	44238488
32	"ENSG00000241945"	"PWP2"	chr21	+	44114178	44114278	44113752	44113847	44114624	44114768
33	"ENSG00000241945"	"PWP2"	chr21	+	44127574	44127693	44126899	44126965	44127931	44128150
34	"ENSG00000160216"	"AGPAT3"	chr21	+	43948153	43948329	43947005	43947058	43959633	43959796
35	"ENSG00000160216"	"AGPAT3"	chr21	+	43954549	43955242	43948273	43948329	43959633	43959859
36	"ENSG00000160216"	"AGPAT3"	chr21	+	43960631	43960779	43959782	43959859	43967945	43968115
37	"ENSG00000215458"	"AATBC"	chr21	-	43806963	43807239	43805757	43806588	43808800	43809451
38	"ENSG00000160214"	"RRP1"	chr21	+	43791015	43791056	43789558	43789762	43791349	43791432
39	"ENSG00000160213"	"CSTB"	chr21	-	43774657	43774759	43773665	43774330	43776203	43776308
40	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732442	43728916	43729010	43734068	43734123
41	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43719222	43719381	43734068	43734123
42	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43728899	43729010	43734068	43734123
43	"ENSG00000160209"	"PDXK"	chr21	+	43743668	43743807	43741666	43741771	43746078	43746125
44	"ENSG00000160209"	"PDXK"	chr21	+	43743723	43743807	43741475	43741771	43746078	43746125
45	"ENSG00000160207"	"HSF2BP"	chr21	-	43644288	43644392	43633262	43633421	43656586	43656737
46	"ENSG00000160199"	"PKNOX1"	chr21	+	43010052	43010224	43007490	43007618	43013067	43013238
47	"ENSG00000160194"	"NDUFV3"	chr21	+	42896926	42897047	42893267	42893381	42903181	42904276
48	"ENSG00000160194"	"NDUFV3"	chr21	+	42903181	42904276	42896926	42897047	42908863	42909105
49	"ENSG00000160191"	"PDE9A"	chr21	+	42686191	42686262	42653620	42653883	42687916	42687994
50	"ENSG00000160191"	"PDE9A"	chr21	+	42686191	42686262	42653620	42653883	42698967	42699011
51	"ENSG00000160191"	"PDE9A"	chr21	+	42687916	42687994	42653778	42653883	42698967	42699011
52	"ENSG00000160191"	"PDE9A"	chr21	+	42687916	42687994	42653778	42653883	42733355	42733426
53	"ENSG00000160191"	"PDE9A"	chr21	+	42687916	42687994	42686191	42686262	42698967	42699011
54	"ENSG00000160191"	"PDE9A"	chr21	+	42697414	42697490	42687916	42687994	42698967	42699011
55	"ENSG00000160191"	"PDE9A"	chr21	+	42698912	42699011	42653635	42653883	42732069	42732124
56	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42653778	42653883	42731769	42731949
57	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42653778	42653883	42732069	42732124
58	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42653778	42653883	42733355	42733426
59	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42687916	42687994	42733355	42733426
60	"ENSG00000160191"	"PDE9A"	chr21	+	42724555	42724634	42698967	42699011	42732069	42732124
61	"ENSG00000160191"	"PDE9A"	chr21	+	42731769	42731949	42653754	42653883	42732069	42732124
62	"ENSG00000160191"	"PDE9A"	chr21	+	42731769	42731949	42653754	42653883	42733355	42733426
63	"ENSG00000160191"	"PDE9A"	chr21	+	42731769	42731949	42698967	42699011	42732069	42732124
64	"ENSG00000160191"	"PDE9A"	chr21	+	42731769	42731949	42698967	42699011	42733355	42733426
65	"ENSG00000160191"	"PDE9A"	chr21	+	42732069	42732124	42653778	42653883	42733355	42733426
66	"ENSG00000160191"	"PDE9A"	chr21	+	42732069	42732124	42698912	42699011	42733355	42733426
67	"ENSG00000160191"	"PDE9A"	chr21	+	42732069	42732124	42731757	42731949	42733355	42733426
68	"ENSG00000160191"	"PDE9A"	chr21	+	42743775	42743860	42733355	42733426	42751115	42751197
69	"ENSG00000160181"	"TFF2"	chr21	-	42350266	42350359	42349880	42350030	42350878	42350994
70	"ENSG00000237232"	"ZNF295-AS1"	chr21	+	42041516	42041982	42031453	42031524	42053898	42055124
71	"ENSG00000184012"	"TMPRSS2"	chr21	-	41477346	41477462	41476576	41476620	41479171	41479282
72	"ENSG00000184012"	"TMPRSS2"	chr21	-	41488393	41488513	41480475	41480602	41489506	41489593
73	"ENSG00000184012"	"TMPRSS2"	chr21	-	41489506	41489593	41480475	41480602	41494355	41494578
74	"ENSG00000184012"	"TMPRSS2"	chr21	-	41494355	41494578	41489506	41489593	41498118	41498189
75	"ENSG00000184012"	"TMPRSS2"	chr21	-	41494479	41494578	41489506	41489593	41498118	41498189
76	"ENSG00000184012"	"TMPRSS2"	chr21	-	41498118	41498189	41489506	41489593	41508080	41508092
77	"ENSG00000183844"	"FAM3B"	chr21	+	41319457	41320978	41304211	41304310	41322922	41323066
78	"ENSG00000183844"	"FAM3B"	chr21	+	41322587	41322704	41316813	41316898	41322922	41323066
79	"ENSG00000183844"	"FAM3B"	chr21	+	41322922	41323066	41316800	41316898	41338377	41338501
80	"ENSG00000183844"	"FAM3B"	chr21	+	41346208	41346407	41345685	41345736	41347012	41347100
81	"ENSG00000226496"	"LINC00323"	chr21	-	41145076	41145335	41141540	41143415	41147348	41147433
82	"ENSG00000226496"	"LINC00323"	chr21	-	41145076	41145335	41141540	41143415	41147961	41148040
83	"ENSG00000226496"	"LINC00323"	chr21	-	41147348	41147499	41141535	41143415	41147961	41148067
84	"ENSG00000235123"	"DSCAM-AS1"	chr21	+	40383651	40384138	40383082	40383455	40384578	40385358
85	"ENSG00000183036"	"PCP4"	chr21	+	39883452	39883632	39867450	39867510	39898475	39898527
86	"ENSG00000183036"	"PCP4"	chr21	+	39916065	39916186	39898475	39898527	39928983	39929397
87	"ENSG00000183036"	"PCP4"	chr21	+	39926046	39926191	39898475	39898527	39928983	39929397
88	"ENSG00000185437"	"SH3BGR"	chr21	+	39475134	39475215	39462374	39462560	39499822	39499915
89	"ENSG00000185437"	"SH3BGR"	chr21	+	39499822	39499915	39475134	39475215	39508997	39509027
90	"ENSG00000183527"	"PSMG1"	chr21	-	39179923	39179986	39178448	39178647	39180284	39180436
91	"ENSG00000183527"	"PSMG1"	chr21	-	39181771	39181878	39180284	39180436	39183251	39183451
92	"ENSG00000235888"	"AF064858.1"	chr21	-	38990826	38991024	38988574	38989426	39005659	39005822
93	"ENSG00000235888"	"AF064858.1"	chr21	-	39008101	39008231	39006647	39006784	39011087	39011329
94	"ENSG00000205622"	"AP001042.1"	chr21	-	38880591	38880708	38879154	38880372	38893960	38894285
95	"ENSG00000205622"	"AP001042.1"	chr21	-	38880591	38880708	38879154	38880372	38901900	38901965
96	"ENSG00000205622"	"AP001042.1"	chr21	-	38893960	38894285	38871243	38871594	38901900	38901965
97	"ENSG00000205622"	"AP001042.1"	chr21	-	38893960	38894285	38879102	38880372	38901900	38901965
98	"ENSG00000205622"	"AP001042.1"	chr21	-	38893960	38894285	38880591	38880708	38901900	38901965
99	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38904483	38901900	38901965	38904954	38905423
100	"ENSG00000205622"	"AP001042.1"	chr21	-	38920741	38920839	38919317	38919516	38923425	38923513
101	"ENSG00000157557"	"ETS2"	chr21	+	38806450	38806808	38805950	38806120	38810034	38810106
102	"ENSG00000157557"	"ETS2"	chr21	+	38806690	38806808	38805982	38806120	38810034	38810106
103	"ENSG00000141959"	"PFKL"	chr21	+	44304274	44304455	44300050	44300190	44306680	44306754
104	"ENSG00000141959"	"PFKL"	chr21	+	44305799	44305935	44305256	44305417	44306680	44306754
105	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37087875	37085789	37087401	37088195	37088346
106	"ENSG00000182670"	"TTC3"	chr21	+	37090232	37090286	37088798	37088886	37091292	37091413
107	"ENSG00000182670"	"TTC3"	chr21	+	37094004	37094090	37091292	37091413	37095349	37095444
108	"ENSG00000182670"	"TTC3"	chr21	+	37121236	37121342	37108391	37108446	37121816	37121979
109	"ENSG00000182670"	"TTC3"	chr21	+	37121816	37121979	37107737	37108446	37122982	37123028
110	"ENSG00000182670"	"TTC3"	chr21	+	37148545	37148647	37147480	37147603	37150077	37150170
111	"ENSG00000182670"	"TTC3"	chr21	+	37150819	37150884	37150077	37150170	37151892	37151958
112	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37156654	37156906	37158130	37158203
113	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37156654	37156906	37159698	37159745
114	"ENSG00000182670"	"TTC3"	chr21	+	37158130	37158203	37156654	37156906	37159698	37159745
115	"ENSG00000182670"	"TTC3"	chr21	+	37158130	37158203	37157160	37157214	37159698	37159745
116	"ENSG00000182670"	"TTC3"	chr21	+	37165549	37166615	37164050	37164215	37167554	37167620
117	"ENSG00000182670"	"TTC3"	chr21	+	37192111	37192213	37191333	37191424	37195674	37196036
118	"ENSG00000159267"	"HLCS"	chr21	-	36938831	36938994	36936448	36937392	36962035	36962170
119	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36938831	36938994	36947332	36948287
120	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36938831	36938994	36962035	36962170
121	"ENSG00000159267"	"HLCS"	chr21	-	36947332	36948287	36938831	36938994	36962035	36962170
122	"ENSG00000159267"	"HLCS"	chr21	-	36947332	36948287	36946008	36946154	36962035	36962170
123	"ENSG00000159267"	"HLCS"	chr21	-	36948165	36948287	36938831	36938994	36962035	36962170
124	"ENSG00000159261"	"CLDN14"	chr21	-	36477373	36477563	36460620	36461776	36479494	36480090
125	"ENSG00000185917"	"SETD4"	chr21	-	36048307	36048396	36045581	36046011	36053582	36053620
126	"ENSG00000185917"	"SETD4"	chr21	-	36053582	36053620	36045581	36046011	36057108	36057204
