ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000160305"	"DIP2A"	chr21	+	46498581	46498833	46504360	46504489	46496987	46497107	46509256	46509376	0	0,2,2,0,126	0,14,7,0,53	11,0,0,0,91,2,2,6,313,108,35,20,3,0,9,36	5,0,0,0,37,13,4,0,134,31,19,2,8,2,21,19	401	278	1	1.0	NA,0.09,0.165,NA,0.622	0.604,NA,NA,NA,0.63,0.096,0.257,1.0,0.618,0.707,0.561,0.874,0.206,0.0,0.229,0.568	-0.196
1	"ENSG00000160305"	"DIP2A"	chr21	+	46504360	46504489	46509256	46509376	46498581	46498833	46511416	46511614	1	0,2,0,0,48	11,6,5,0,78	0,0,0,0,19,2,0,8,55,44,18,5,2,0,1,3	18,2,0,2,47,12,10,5,256,93,37,12,16,12,31,19	278	269	1	1.0	0.0,0.244,0.0,NA,0.373	0.0,0.0,NA,0.0,0.281,0.139,0.0,0.608,0.172,0.314,0.32,0.287,0.108,0.0,0.03,0.133	-0.005
2	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46254391	46254526	46246306	46246886	46254775	46254844	2	0,40,2,0,145	41,97,15,14,99	16,0,1,0,237,2,2,14,170,193,169,16,11,0,91,56	47,11,8,18,128,27,15,17,131,137,154,39,74,10,217,38	284	303	0.122304639075	0.8680302651922199	0.0,0.306,0.125,0.0,0.61	0.266,0.0,0.118,0.0,0.664,0.073,0.125,0.468,0.581,0.6,0.539,0.304,0.137,0.0,0.309,0.611	-0.091
3	"ENSG00000160294"	"MCM3AP"	chr21	-	46270400	46270563	46272560	46272829	46266981	46267142	46273387	46273585	3	26,26,10,14,196	58,25,9,32,97	77,11,4,11,141,27,34,32,299,231,287,44,76,17,223,79	61,22,19,34,81,25,19,17,68,144,88,17,53,42,97,13	418	312	0.0747651999787	0.705357008718852	0.251,0.437,0.453,0.246,0.601	0.485,0.272,0.136,0.195,0.565,0.446,0.572,0.584,0.766,0.545,0.709,0.659,0.517,0.232,0.632,0.819	-0.111
4	"ENSG00000142173"	"COL6A2"	chr21	+	46122107	46122158	46122495	46122531	46121555	46121618	46122874	46122937	4	0,68,0,0,437	1,48,0,0,142	14,0,0,0,315,2,0,3,229,342,1317,60,5,0,13,37	4,0,0,0,230,0,2,3,110,114,673,53,1,0,10,33	200	185	1	1.0	0.0,0.567,NA,NA,0.74	0.764,NA,NA,NA,0.559,1.0,0.0,0.481,0.658,0.735,0.644,0.512,0.822,NA,0.546,0.509	-0.167
5	"ENSG00000142173"	"COL6A2"	chr21	+	46122495	46122531	46122874	46122937	46122107	46122158	46124650	46124713	5	0,30,0,0,311	3,86,0,0,683	6,0,1,0,278,2,0,2,155,241,842,40,4,0,17,48	17,1,0,0,740,3,1,4,410,538,1675,125,21,0,45,60	185	212	1	1.0	0.0,0.286,NA,NA,0.343	0.288,0.0,1.0,NA,0.301,0.433,0.0,0.364,0.302,0.339,0.366,0.268,0.179,NA,0.302,0.478	-0.12
6	"ENSG00000182871"	"COL18A1"	chr21	+	45477749	45477965	45478326	45478353	45477410	45477487	45479901	45479964	6	0,595,0,0,4176	0,118,0,0,123	4,0,0,0,312,0,0,166,282,1699,1583,114,4,0,43,57	5,0,0,0,46,0,0,40,4,56,247,15,0,0,16,9	365	176	1	1.0	NA,0.709,NA,NA,0.942	0.278,NA,NA,NA,0.766,NA,NA,0.667,0.971,0.936,0.756,0.786,1.0,NA,0.564,0.753	0.078
7	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45488417	45488444	45486860	45486992	45489485	45489521	7	0,291,1,0,1497	0,116,0,0,1314	1,0,0,0,149,0,0,20,41,664,572,25,4,0,2,27	2,0,0,0,25,0,0,14,115,448,212,14,0,0,11,30	212	176	1	1.0	NA,0.676,1.0,NA,0.486	0.293,NA,NA,NA,0.832,NA,NA,0.543,0.228,0.552,0.691,0.597,1.0,NA,0.131,0.428	0.191
8	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45490274	45490346	45486860	45486992	45490835	45490871	8	0,291,1,0,1493	1,409,2,1,1028	1,0,0,0,149,0,0,20,40,664,573,25,4,0,2,26	43,0,0,0,66,0,0,51,122,415,673,53,36,0,37,67	212	221	1	1.0	0.0,0.426,0.343,0.0,0.602	0.024,NA,NA,NA,0.702,NA,NA,0.29,0.255,0.625,0.47,0.33,0.104,NA,0.053,0.288	-0.04
9	"ENSG00000182871"	"COL18A1"	chr21	+	45488417	45488444	45489485	45489521	45487446	45487509	45490274	45490346	9	0,128,0,0,565	0,280,0,0,877	4,0,0,0,14,0,0,16,34,223,224,14,0,0,0,12	25,0,0,0,150,0,0,29,134,345,647,21,4,0,10,31	176	185	1	1.0	NA,0.325,NA,NA,0.404	0.144,NA,NA,NA,0.089,NA,NA,0.367,0.211,0.405,0.267,0.412,0.0,NA,0.0,0.289	0.146
10	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45494861	45494915	45493500	45493575	45495357	45495432	10	0,74,0,0,756	8,374,3,0,933	2,0,0,0,42,0,0,18,79,251,172,13,0,0,0,5	69,0,0,0,160,0,7,59,161,343,555,13,26,0,30,17	176	203	1	1.0	0.0,0.186,0.0,NA,0.483	0.032,NA,NA,NA,0.232,NA,0.0,0.26,0.361,0.458,0.263,0.536,0.0,NA,0.0,0.253	-0.05
11	"ENSG00000186866"	"POFUT2"	chr21	-	45283382	45283527	45285268	45285328	45282348	45282459	45285677	45285928	11	1,0,0,0,0	12,58,9,6,141	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	18,10,0,4,123,8,16,12,99,103,118,21,18,4,55,3	209	294	1	1.0	0.105,0.0,0.0,0.0,0.0	0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.02
12	"ENSG00000160255"	"ITGB2"	chr21	-	44888692	44888895	44889275	44889495	44886735	44886902	44889977	44890222	12	3,329,0,0,358	0,371,0,0,492	0,0,0,1,1539,0,0,18,668,1831,921,39,0,2,2,61	2,0,0,1,2478,0,0,10,2068,2087,940,66,13,0,63,112	369	352	1	1.0	1.0,0.458,NA,NA,0.41	0.0,NA,NA,0.488,0.372,NA,NA,0.632,0.236,0.456,0.483,0.36,0.0,1.0,0.029,0.342	0.256
13	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44813975	44814104	44805616	44807040	44817947	44818051	13	0,228,2,0,207	2,1,0,0,0	16,0,0,0,1085,0,0,22,68,281,878,38,12,1,20,56	2,0,0,0,3,0,0,0,2,5,13,0,0,0,0,0	278	271	1	1.0	0.0,0.996,1.0,NA,1.0	0.886,NA,NA,NA,0.997,NA,NA,1.0,0.971,0.982,0.985,1.0,1.0,1.0,1.0,1.0	-0.235
14	"ENSG00000184900"	"SUMO3"	chr21	-	44809046	44809118	44813975	44814104	44805616	44807040	44817947	44818062	14	0,228,2,0,207	5,105,0,1,235	16,0,0,0,1085,0,0,22,68,281,878,38,12,1,20,56	51,0,0,0,586,4,0,39,133,258,387,34,25,6,36,13	278	221	1	1.0	0.0,0.633,1.0,0.0,0.412	0.2,NA,NA,NA,0.595,0.0,NA,0.31,0.289,0.464,0.643,0.47,0.276,0.117,0.306,0.774	0.039
