ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	12800	12964	11706	11758	16870	16922
1	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	21056	21159	20006	20221	22932	23113
2	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	27336	27439	26290	26505	29278	29488
3	"ENSG00000160305"	"DIP2A"	chr21	+	46490599	46490719	46484756	46484828	46496987	46497107
4	"ENSG00000160305"	"DIP2A"	chr21	+	46498581	46498833	46496987	46497107	46504360	46504489
5	"ENSG00000160305"	"DIP2A"	chr21	+	46504360	46504489	46498581	46498833	46509256	46509376
6	"ENSG00000160305"	"DIP2A"	chr21	+	46509256	46509376	46504312	46504489	46511416	46511614
7	"ENSG00000160305"	"DIP2A"	chr21	+	46529091	46529183	46511416	46511614	46532126	46532237
8	"ENSG00000160305"	"DIP2A"	chr21	+	46534584	46534687	46534003	46534113	46537223	46537288
9	"ENSG00000160305"	"DIP2A"	chr21	+	46559833	46559863	46558222	46558393	46560721	46560783
10	"ENSG00000160305"	"DIP2A"	chr21	+	46561747	46561805	46560721	46560783	46563857	46563932
11	"ENSG00000160305"	"DIP2A"	chr21	+	46566559	46566683	46565712	46565887	46567369	46569585
12	"ENSG00000160294"	"MCM3AP"	chr21	-	46242801	46242931	46240810	46241017	46243464	46243722
13	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46246306	46246886	46254391	46254526
14	"ENSG00000160294"	"MCM3AP"	chr21	-	46264116	46264217	46261279	46261411	46265320	46265523
15	"ENSG00000160294"	"MCM3AP"	chr21	-	46270400	46270563	46266981	46267142	46272560	46272829
16	"ENSG00000160294"	"MCM3AP"	chr21	-	46272560	46272829	46270400	46270563	46273387	46273585
17	"ENSG00000160294"	"MCM3AP"	chr21	-	46277526	46277717	46275185	46275325	46283614	46283838
18	"ENSG00000160294"	"MCM3AP"	chr21	-	46279992	46280137	46277526	46277717	46283614	46283838
19	"ENSG00000160294"	"MCM3AP"	chr21	-	46280496	46280575	46279992	46280137	46283614	46283838
20	"ENSG00000160285"	"LSS"	chr21	-	46191065	46191235	46188140	46188821	46191880	46191959
21	"ENSG00000160285"	"LSS"	chr21	-	46191075	46191235	46188445	46188821	46191880	46193487
