ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46246306	46246886	46254391	46254526	4	179	0	223	35	298	149	7.61001039962e-10	2.791324876490706e-08	1.0	0.761	0.239
5	"ENSG00000160285"	"LSS"	chr21	-	46191065	46191235	46188140	46188821	46191880	46191959	5	565	6	255	0	298	149	0.256843515088	0.37738147003152617	0.979	1.0	-0.021
6	"ENSG00000160285"	"LSS"	chr21	-	46191075	46191235	46188445	46188821	46191880	46193487	6	649	6	284	0	298	149	0.424156737139	0.5718334777822427	0.982	1.0	-0.018
7	"ENSG00000160285"	"LSS"	chr21	-	46196201	46196267	46195675	46195756	46205835	46205941	7	241	15	96	0	215	149	0.000951955196818	0.0036642495354487804	0.918	1.0	-0.082
8	"ENSG00000160285"	"LSS"	chr21	-	46219475	46219572	46216388	46216524	46221853	46221975	8	103	8	131	1	246	149	0.00186622982696	0.006273241530713032	0.886	0.988	-0.102
9	"ENSG00000142173"	"COL6A2"	chr21	+	46125265	46125311	46124884	46124920	46125464	46125617	9	243	2	1697	77	195	149	0.000624200417451	0.0025965334105288083	0.989	0.944	0.045
21	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45486860	45486992	45488417	45488444	21	954	0	341	15	212	149	2.53987721088e-06	2.6597481211863122e-05	1.0	0.941	0.059
22	"ENSG00000182871"	"COL18A1"	chr21	+	45489485	45489521	45488417	45488444	45490274	45490346	22	961	6	359	0	185	149	1	1.0	0.992	1.0	-0.008
23	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45493500	45493575	45494861	45494915	23	1133	5	331	0	176	149	1	1.0	0.995	1.0	-0.005
24	"ENSG00000182871"	"COL18A1"	chr21	+	45494861	45494915	45494544	45494571	45495357	45495432	24	1471	0	520	24	203	149	3.83937748261e-09	1.0989952893592492e-07	1.0	0.941	0.059
25	"ENSG00000182871"	"COL18A1"	chr21	+	45504415	45504556	45504010	45504054	45505133	45505278	25	898	6	288	0	290	149	0.772603656572	0.9201113659598534	0.987	1.0	-0.013
27	"ENSG00000186866"	"POFUT2"	chr21	-	45266021	45266227	45263927	45265635	45267589	45267713	27	51	46	73	31	298	149	0.0191627788249	0.04152336139347842	0.357	0.541	-0.184
28	"ENSG00000186866"	"POFUT2"	chr21	-	45277232	45277773	45277016	45277142	45278102	45278169	28	19	14	18	74	298	149	0.000163324959461	0.0008694442486179717	0.404	0.108	0.296
30	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282348	45282459	45283351	45283527	30	9	5	6	7	284	149	0.31557370561	0.44680941962571835	0.486	0.31	0.176
31	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282348	45282459	45283382	45283527	31	5	24	6	70	284	149	0.252679938197	0.3722569872179305	0.099	0.043	0.056
34	"ENSG00000186866"	"POFUT2"	chr21	-	45285268	45285328	45283351	45283527	45285677	45285928	34	2	33	0	39	209	149	0.875479716755	1.0	0.041	0.0	0.041
36	"ENSG00000160255"	"ITGB2"	chr21	-	44891808	44891996	44889977	44890222	44893403	44893544	36	199	1	1440	19	298	149	0.108456168429	0.18051928636435596	0.99	0.974	0.016
39	"ENSG00000160255"	"ITGB2"	chr21	-	44908073	44908182	44906914	44907095	44910283	44910372	39	72	70	206	433	258	149	0.00115958058565	0.004300491778276772	0.373	0.216	0.157
42	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44809046	44809118	44817947	44818129	42	215	1	1026	6	298	149	0.753664167708	0.9024113826889643	0.991	0.988	0.003
43	"ENSG00000184900"	"SUMO3"	chr21	-	44813975	44814104	44808996	44809118	44817947	44817968	43	490	1	2215	6	278	149	1	1.0	0.996	0.995	0.001
51	"ENSG00000160216"	"AGPAT3"	chr21	+	43960631	43960779	43959782	43959859	43967945	43968115	51	4	70	0	144	297	149	0.300469398787	0.4287041528717238	0.028	0.0	0.028
54	"ENSG00000160213"	"CSTB"	chr21	-	43774657	43774759	43773665	43774330	43776203	43776308	54	6198	7	24943	104	251	149	1	1.0	0.998	0.993	0.005
56	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43719222	43719381	43734068	43734123	56	1	108	0	337	298	149	1	1.0	0.005	0.0	0.005
60	"ENSG00000160209"	"PDXK"	chr21	+	43748994	43749080	43745702	43746125	43750499	43750545	60	689	8	1843	0	235	149	0.302367109123	0.430855881912981	0.982	1.0	-0.018
62	"ENSG00000160194"	"NDUFV3"	chr21	+	42896926	42897047	42893267	42893381	42903181	42904276	62	551	1	373	0	270	149	1	1.0	0.997	1.0	-0.003
63	"ENSG00000160194"	"NDUFV3"	chr21	+	42896926	42897047	42893267	42893381	42908863	42913304	63	1286	84	584	8	270	149	2.73701851095e-06	2.8290260160063745e-05	0.894	0.976	-0.082
64	"ENSG00000160194"	"NDUFV3"	chr21	+	42903181	42904276	42896926	42897047	42908863	42909105	64	157	756	233	318	298	149	1.38331568422e-11	8.532093523742643e-10	0.094	0.268	-0.174
87	"ENSG00000157617"	"C2CD2"	chr21	-	41909458	41909523	41907659	41907784	41912331	41912440	87	16	5	30	0	214	149	0.000375379100099	0.001716539380064359	0.69	1.0	-0.31
91	"ENSG00000184012"	"TMPRSS2"	chr21	-	41494355	41494578	41489506	41489593	41498118	41498189	91	24	1	233	7	298	149	0.593724408595	0.7504479533863613	0.923	0.943	-0.02
92	"ENSG00000184012"	"TMPRSS2"	chr21	-	41494479	41494578	41489506	41489593	41498118	41498189	92	16	1	53	7	248	149	0.272009742383	0.3951166959518674	0.906	0.82	0.086
97	"ENSG00000183844"	"FAM3B"	chr21	+	41346208	41346407	41345685	41345736	41347012	41347100	97	0	18	16	62	298	149	0.00141859095747	0.005047017854525026	0.0	0.114	-0.114
107	"ENSG00000183527"	"PSMG1"	chr21	-	39179923	39179986	39178448	39178647	39180284	39180436	107	144	21	263	0	212	149	1.10968312317e-09	3.776002420700183e-08	0.828	1.0	-0.172
111	"ENSG00000205622"	"AP001042.1"	chr21	-	38880591	38880708	38879154	38880372	38893960	38894285	111	0	4	8	0	266	149	1.31618785648e-07	2.2050668664261534e-06	0.0	1.0	-1.0
112	"ENSG00000205622"	"AP001042.1"	chr21	-	38880591	38880708	38879154	38880372	38901900	38901965	112	0	2	8	0	266	149	1.29047344366e-06	1.5203963414673019e-05	0.0	1.0	-1.0
118	"ENSG00000157557"	"ETS2"	chr21	+	38806450	38806808	38805950	38806120	38810034	38810106	118	15	120	53	211	298	149	0.0282060974913	0.057460254045974754	0.059	0.112	-0.053
119	"ENSG00000157557"	"ETS2"	chr21	+	38806690	38806808	38805982	38806120	38810034	38810106	119	9	120	28	211	267	149	0.128051755157	0.20821519700041957	0.04	0.069	-0.029
120	"ENSG00000141959"	"PFKL"	chr21	+	44304274	44304455	44300050	44300190	44306680	44306754	120	0	64	8	332	298	149	0.816202253222	0.9597149217459704	0.0	0.012	-0.012
121	"ENSG00000141959"	"PFKL"	chr21	+	44305799	44305935	44305256	44305417	44306680	44306754	121	4	5	12	11	285	149	0.637355675098	0.7949433948527037	0.295	0.363	-0.068
122	"ENSG00000141959"	"PFKL"	chr21	+	44311005	44311083	44306680	44306754	44312104	44312294	122	113	2	354	15	227	149	0.100435851372	0.16900232086987074	0.974	0.939	0.035
125	"ENSG00000182670"	"TTC3"	chr21	+	37094004	37094090	37091292	37091413	37095349	37095444	125	1	0	36	1	235	149	0.282110111969	0.4070493601925472	1.0	0.958	0.042
130	"ENSG00000182670"	"TTC3"	chr21	+	37158130	37158203	37156654	37156906	37159698	37159745	130	1	9	26	81	222	149	0.0956340835245	0.16212030649993767	0.069	0.177	-0.108
132	"ENSG00000159267"	"HLCS"	chr21	-	36765011	36765172	36759726	36759841	36767217	36767285	132	81	0	68	4	298	149	0.0131015078795	0.03032000550471893	1.0	0.895	0.105
134	"ENSG00000159267"	"HLCS"	chr21	-	36947332	36948287	36938831	36938994	36962035	36962170	134	3	2	0	21	298	149	0.00111722758526	0.004183093853103566	0.429	0.0	0.429
135	"ENSG00000159267"	"HLCS"	chr21	-	36948165	36948287	36938831	36938994	36962035	36962170	135	3	2	9	21	271	149	0.283241977704	0.4083413388478397	0.452	0.191	0.261
