ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	1	9,25,11,0,35	19,60,10,12,62	21,0,0,5,76,9,9,5,77,37,62,12,12,4,48,6	39,9,14,12,107,13,22,13,63,73,177,20,36,28,67,9	298	149	0.833375764975	1.0	0.191,0.172,0.355,0.0,0.22	0.212,0.0,0.0,0.172,0.262,0.257,0.17,0.161,0.379,0.202,0.149,0.231,0.143,0.067,0.264,0.25	0.005
2	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	2	4,414,0,1,13	0,90,0,0,6	23,0,0,0,204,0,0,30,22,26,131,13,0,0,23,1	0,0,0,0,29,0,0,1,3,3,0,0,0,2,0,1	298	149	1	1.0	1.0,0.697,NA,1.0,0.52	1.0,NA,NA,NA,0.779,NA,NA,0.938,0.786,0.812,1.0,1.0,NA,0.0,1.0,0.333	0.039
8	"ENSG00000241945"	"PWP2"	chr21	+	44120951	44122357	44120951	44121102	44122176	44122357	8	0,0,0,0,0	0,0,0,0,50	0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0	11,0,0,0,0,0,0,0,37,57,0,0,0,0,10,0	298	149	1	1.0	NA,NA,NA,NA,0.0	0.0,NA,NA,NA,NA,NA,NA,NA,0.013,0.0,NA,NA,NA,NA,0.286,NA	-0.075
9	"ENSG00000241945"	"PWP2"	chr21	+	44124579	44126119	44124579	44124727	44126010	44126119	9	0,0,0,0,0	19,0,0,0,59	1,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0	18,2,0,0,0,0,0,0,27,74,0,0,0,0,0,0	298	149	1	1.0	0.0,NA,NA,NA,0.0	0.027,0.0,NA,NA,NA,NA,NA,NA,0.115,0.02,NA,NA,NA,NA,NA,NA	-0.041
11	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38905423	38904229	38904483	38904954	38905423	11	4,14,11,64,21	0,5,0,0,0	32,94,29,14,30,104,174,33,66,209,0,16,30,10,131,75	3,5,0,2,0,0,2,1,28,66,0,0,2,0,17,5	298	149	1	1.0	1.0,0.583,1.0,1.0,1.0	0.842,0.904,1.0,0.778,1.0,1.0,0.978,0.943,0.541,0.613,NA,1.0,0.882,1.0,0.794,0.882	0.039
13	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	13	0,9,0,0,10	0,147,2,0,574	4,0,0,0,27,0,0,1,31,19,22,4,0,0,14,15	19,0,0,0,378,4,4,43,226,435,619,29,7,0,92,28	298	149	1	1.0	NA,0.03,0.0,NA,0.009	0.095,NA,NA,NA,0.034,0.0,0.0,0.011,0.064,0.021,0.017,0.065,0.0,NA,0.071,0.211	-0.036
14	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	14	0,90,0,0,43	7,187,18,4,604	3,0,0,0,129,0,0,6,56,45,52,2,6,0,24,23	24,2,2,0,242,14,16,54,183,496,641,25,13,0,136,17	298	149	1	1.0	0.0,0.194,0.0,0.0,0.034	0.059,0.0,0.0,NA,0.21,0.0,0.0,0.053,0.133,0.043,0.039,0.038,0.188,NA,0.081,0.404	-0.044
15	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44319415	44321728	44321875	15	0,64,0,0,32	0,0,0,0,2	0,0,0,0,90,0,0,1,64,41,45,1,2,0,14,5	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	298	149	1	1.0	NA,1.0,NA,NA,0.889	NA,NA,NA,NA,1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0	-0.055
16	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	16	0,19,0,0,17	0,212,7,3,498	0,0,0,0,51,0,0,2,41,15,15,0,0,0,0,1	20,4,2,2,358,6,11,59,171,416,570,38,11,0,79,27	298	149	1	1.0	NA,0.043,0.0,0.0,0.017	0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.017,0.107,0.018,0.013,0.0,0.0,NA,0.0,0.018	-0.001
17	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060	17	0,220,0,0,28	0,0,0,0,0	1,0,0,0,176,0,0,3,87,21,36,5,0,0,19,16	0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0	298	149	1	1.0	NA,1.0,NA,NA,1.0	1.0,NA,NA,NA,1.0,NA,NA,1.0,0.916,0.84,1.0,1.0,NA,NA,1.0,1.0	0.027
