ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"ENSG00000183570"	"PCBP3"	chr21	+	45668873	45669032	45668873	45668952	45735391	45735429
4	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282368	45282398
12	"ENSG00000184012"	"TMPRSS2"	chr21	-	41507949	41508158	41508080	41508158	41489506	41489593
19	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44321728	44321875
23	"ENSG00000159131"	"GART"	chr21	-	33528514	33528604	33528518	33528604	33524768	33525000
30	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501495	32501414	32501486	32514813	32515389
68	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38741006	38741050	38739721	38739943
92	"ENSG00000100325"	"ASCC2"	chr22	-	29834441	29834550	29834488	29834550	29825621	29825780
95	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29288786	29288605	29288755	29291564	29291599
96	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29288786	29288605	29288755	29292136	29292169
97	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288755	29292136	29292169
98	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29292136	29292169
99	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299280	29298732	29298895	29299598	29299851
102	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744709	28744614	28744704	28751240	28751288
103	"ENSG00000183765"	"CHEK2"	chr22	-	28724564	28724923	28724885	28724923	28711908	28712017
109	"ENSG00000244625"	"MIATNB"	chr22	+	26726643	26726794	26726643	26726720	26738061	26738240
116	"ENSG00000228315"	"GUSBP11"	chr22	-	23690231	23690356	23690235	23690356	23683724	23683867
117	"ENSG00000228315"	"GUSBP11"	chr22	-	23694118	23695517	23695172	23695517	23683724	23683867
118	"ENSG00000228315"	"GUSBP11"	chr22	-	23694118	23695517	23695172	23695517	23690235	23690356
128	"ENSG00000232855"	"AF165147.1"	chr21	-	28577218	28577380	28577274	28577380	28446289	28446472
134	"ENSG00000012817"	"KDM5D"	chrY	-	19715583	19715739	19715614	19715739	19710375	19710472
135	"ENSG00000183878"	"UTY"	chrY	-	13355002	13355398	13355374	13355398	13326220	13326350
137	"ENSG00000099326"	"MZF1"	chr19	-	58570343	58571429	58570993	58571429	58569515	58569586
139	"ENSG00000198131"	"ZNF544"	chr19	+	58230393	58230497	58230393	58230462	58231771	58231820
140	"ENSG00000198131"	"ZNF544"	chr19	+	58230393	58230497	58230393	58230462	58237248	58237334
151	"ENSG00000160469"	"BRSK1"	chr19	+	55287213	55287303	55287213	55287299	55289479	55289620
161	"ENSG00000167613"	"LAIR1"	chr19	-	54356229	54356398	54356355	54356398	54355953	54356006
163	"ENSG00000167613"	"LAIR1"	chr19	-	54360915	54361209	54361009	54361209	54356490	54356619
165	"ENSG00000167613"	"LAIR1"	chr19	-	54360915	54361209	54361009	54361209	54356927	54356966
169	"ENSG00000105618"	"PRPF31"	chr19	+	54128072	54128377	54128072	54128200	54129056	54129370
171	"ENSG00000196417"	"ZNF765"	chr19	+	53426489	53426595	53426489	53426584	53426864	53426888
174	"ENSG00000160193"	"WDR4"	chr21	-	42873550	42873691	42873602	42873691	42859661	42859722
187	"ENSG00000126453"	"BCL2L12"	chr19	+	49669023	49669164	49669023	49669115	49670215	49670488
193	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49489922	49489849	49489912	49490474	49490576
195	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490297	49489849	49489922	49490474	49490576
226	"ENSG00000159917"	"ZNF235"	chr19	-	44298807	44298903	44298819	44298903	44234754	44234869
228	"ENSG00000167637"	"ZNF283"	chr19	+	43837052	43837179	43837052	43837132	43840885	43841018
247	"ENSG00000268027"	"AC243960.1"	chr19	+	41551179	41551494	41551179	41551302	41553705	41553746
254	"ENSG00000269858"	"EGLN2"	chr19	+	40807137	40807551	40807137	40807274	40807808	40808432
256	"ENSG00000188493"	"C19orf54"	chr19	-	40742398	40742770	40742576	40742770	40740855	40741439
257	"ENSG00000188493"	"C19orf54"	chr19	-	40743904	40743981	40743914	40743981	40740861	40741065
258	"ENSG00000188493"	"C19orf54"	chr19	-	40742514	40742770	40742576	40742770	40742072	40742189
262	"ENSG00000090013"	"BLVRB"	chr19	-	40458173	40458545	40458380	40458545	40451363	40451492
265	"ENSG00000105193"	"RPS16"	chr19	-	39433521	39433761	39433664	39433761	39433206	39433418
270	"ENSG00000187994"	"RINL"	chr19	-	38876330	38876781	38876692	38876781	38873885	38873988
271	"ENSG00000182472"	"CAPN12"	chr19	-	38734318	38734870	38734812	38734870	38733702	38733940
272	"ENSG00000182472"	"CAPN12"	chr19	-	38734318	38734870	38734812	38734870	38734141	38734204
