ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
203	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490576	49489849	49489922	49490474	49490576
207	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490864	49489849	49489922	49490778	49490864
210	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49491547	49489849	49490864	49491424	49491547
221	"ENSG00000063177"	"RPL18"	chr19	-	48616078	48617423	48616078	48616202	48617315	48617423
247	"ENSG00000188493"	"C19orf54"	chr19	-	40740855	40742770	40740855	40741439	40742398	40742770
248	"ENSG00000188493"	"C19orf54"	chr19	-	40740855	40742770	40740855	40741439	40742514	40742770
287	"ENSG00000250799"	"PRODH2"	chr19	-	35806429	35807121	35806429	35806596	35807040	35807121
300	"ENSG00000105677"	"TMEM147"	chr19	+	35546671	35547240	35546671	35546808	35547118	35547240
356	"ENSG00000105650"	"PDE4C"	chr19	-	18220402	18220923	18220402	18220708	18220873	18220923
390	"ENSG00000104957"	"CCDC130"	chr19	+	13758867	13759272	13758867	13759010	13759110	13759272
493	"ENSG00000064932"	"SBNO2"	chr19	-	1109134	1109598	1109134	1109211	1109505	1109598
548	"ENSG00000064601"	"CTSA"	chr20	+	45892724	45894741	45892724	45892880	45894649	45894741
591	"ENSG00000149636"	"DSN1"	chr20	-	36770872	36771473	36770872	36771024	36771424	36771473
597	"ENSG00000088340"	"FER1L4"	chr20	-	35559340	35560638	35559340	35559627	35560539	35560638
669	"ENSG00000105426"	"PTPRS"	chr19	-	5218419	5219467	5218419	5218532	5219309	5219467
699	"ENSG00000169738"	"DCXR"	chr17	-	82036190	82036643	82036190	82036308	82036543	82036643
701	"ENSG00000169738"	"DCXR"	chr17	-	82036190	82036763	82036190	82036308	82036720	82036763
713	"ENSG00000185624"	"P4HB"	chr17	-	81843168	81846629	81843168	81844092	81846428	81846629
733	"ENSG00000214087"	"ARL16"	chr17	-	81682033	81683594	81682033	81682675	81683535	81683594
768	"ENSG00000132471"	"WBP2"	chr17	-	75846907	75848662	75846907	75846984	75848569	75848662
854	"ENSG00000005884"	"ITGA3"	chr17	+	50076583	50077447	50076583	50076681	50077378	50077447
899	"ENSG00000131469"	"RPL27"	chr17	+	42998418	43000102	42998418	42998471	42999932	43000102
941	"ENSG00000125691"	"RPL23"	chr17	-	38850080	38852732	38850080	38850214	38852603	38852732
946	"ENSG00000278053"	"DDX52"	chr17	-	37619767	37621277	37619767	37619839	37621126	37621277
1122	"ENSG00000167526"	"RPL13"	chr16	+	89561226	89561751	89561226	89561368	89561595	89561751
1196	"ENSG00000102977"	"ACD"	chr16	-	67658927	67659613	67658927	67659079	67659536	67659613
1230	"ENSG00000103042"	"SLC38A7"	chr16	-	58675939	58676346	58675939	58676121	58676288	58676346
1241	"ENSG00000051108"	"HERPUD1"	chr16	+	56939894	56940245	56939894	56940088	56940176	56940245
1242	"ENSG00000187193"	"MT1X"	chr16	+	56682469	56684196	56682469	56682568	56683957	56684196
1297	"ENSG00000168488"	"ATXN2L"	chr16	+	28835932	28837237	28835932	28836176	28836747	28837237
1334	"ENSG00000179583"	"CIITA"	chr16	+	10906498	10909187	10906498	10908149	10908982	10909187
1406	"ENSG00000103245"	"CIAO3"	chr16	-	730842	732900	730842	731000	732300	732900
1423	"ENSG00000140983"	"RHOT2"	chr16	+	668487	668699	668487	668569	668658	668699
1432	"ENSG00000140983"	"RHOT2"	chr16	+	672253	672825	672253	672384	672702	672825
1454	"ENSG00000214078"	"CPNE1"	chr20	-	35630438	35631034	35630438	35630490	35630900	35631034
1457	"ENSG00000007384"	"RHBDF1"	chr16	-	58973	59349	58973	59093	59248	59349
1460	"ENSG00000007384"	"RHBDF1"	chr16	-	58973	59349	58973	59127	59298	59349
1528	"ENSG00000140365"	"COMMD4"	chr15	+	75338984	75339878	75338984	75339104	75339701	75339878
1535	"ENSG00000140474"	"ULK3"	chr15	-	74842279	74842676	74842279	74842449	74842534	74842676
