ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000160305"	"DIP2A"	chr21	+	46498581	46498833	46504360	46504489	46496987	46497107	46509256	46509376
1	"ENSG00000160305"	"DIP2A"	chr21	+	46504360	46504489	46509256	46509376	46498581	46498833	46511416	46511614
2	"ENSG00000160294"	"MCM3AP"	chr21	-	46270400	46270563	46272560	46272829	46266981	46267142	46273387	46273585
3	"ENSG00000142173"	"COL6A2"	chr21	+	46122107	46122158	46122495	46122531	46121555	46121618	46122874	46122937
4	"ENSG00000142173"	"COL6A2"	chr21	+	46122495	46122531	46122874	46122937	46122107	46122158	46124650	46124713
5	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45488417	45488444	45486860	45486992	45489485	45489521
6	"ENSG00000182871"	"COL18A1"	chr21	+	45488417	45488444	45489485	45489521	45487446	45487509	45490274	45490346
7	"ENSG00000186866"	"POFUT2"	chr21	-	45283382	45283527	45285268	45285328	45282348	45282459	45285677	45285928
8	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44813975	44814104	44805616	44807040	44817947	44818051
9	"ENSG00000184900"	"SUMO3"	chr21	-	44809046	44809118	44813975	44814104	44805616	44807040	44817947	44818062
10	"ENSG00000160191"	"PDE9A"	chr21	+	42686191	42686262	42687916	42687994	42653778	42653883	42698967	42699011
11	"ENSG00000160191"	"PDE9A"	chr21	+	42687916	42687994	42698967	42699011	42653778	42653883	42733355	42733426
12	"ENSG00000160191"	"PDE9A"	chr21	+	42687916	42687994	42732069	42732124	42653778	42653883	42733355	42733426
13	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42732069	42732124	42653778	42653883	42733355	42733426
14	"ENSG00000160191"	"PDE9A"	chr21	+	42724555	42724634	42731769	42731949	42698967	42699011	42732069	42732124
15	"ENSG00000160191"	"PDE9A"	chr21	+	42731769	42731949	42732069	42732124	42698967	42699011	42733355	42733426
16	"ENSG00000160191"	"PDE9A"	chr21	+	42743775	42743860	42751115	42751197	42733355	42733426	42753989	42754064
17	"ENSG00000183036"	"PCP4"	chr21	+	39916065	39916186	39926046	39926191	39898475	39898527	39928983	39929397
18	"ENSG00000185437"	"SH3BGR"	chr21	+	39499822	39499915	39508997	39509027	39475134	39475215	39511679	39511809
19	"ENSG00000285815"	"GET1-SH3BGR"	chr21	+	39499822	39499915	39511679	39511809	39475134	39475215	39515087	39515321
20	"ENSG00000157557"	"ETS2"	chr21	+	38819502	38819766	38821585	38821704	38818424	38818646	38822673	38823783
21	"ENSG00000141959"	"PFKL"	chr21	+	44311005	44311083	44312104	44312294	44306680	44306754	44312977	44313143
22	"ENSG00000182670"	"TTC3"	chr21	+	37148545	37148647	37150077	37150170	37147480	37147603	37151892	37152029
23	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37158130	37158203	37156654	37156906	37159698	37159745
24	"ENSG00000159267"	"HLCS"	chr21	-	36938831	36938994	36946008	36946154	36936448	36937392	36962035	36962170
25	"ENSG00000159267"	"HLCS"	chr21	-	36938831	36938994	36947332	36948287	36936448	36937392	36962035	36962170
26	"ENSG00000159267"	"HLCS"	chr21	-	36938831	36938994	36962035	36962170	36936448	36937392	36990157	36990234
27	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36947332	36948287	36936448	36937392	36962035	36962170
28	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36947332	36948287	36938831	36938994	36962035	36962170
29	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36948165	36948287	36938831	36938994	36962035	36962170
30	"ENSG00000185917"	"SETD4"	chr21	-	36053582	36053620	36057108	36057204	36045581	36046011	36058815	36058924
31	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33909081	33909211	33903934	33904021	33912288	33912399
32	"ENSG00000159131"	"GART"	chr21	-	33509782	33509920	33511251	33511458	33505973	33506104	33516988	33517141
33	"ENSG00000159131"	"GART"	chr21	-	33530758	33530884	33531488	33531557	33528849	33528937	33532344	33532456
34	"ENSG00000159086"	"PAXBP1"	chr21	-	32761058	32761162	32762095	32762317	32759401	32759994	32764347	32764524
35	"ENSG00000166979"	"EVA1C"	chr21	+	32495026	32495170	32501414	32501495	32467695	32467848	32514813	32515389
36	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32587312	32587477	32582199	32582415	32603160	32603292
37	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32602271	32602367	32582199	32582415	32603160	32603292
38	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32587312	32587477	32602271	32602367	32582199	32582415	32603160	32603292
39	"ENSG00000142207"	"URB1"	chr21	-	32363155	32363329	32366617	32366755	32361891	32362021	32368402	32368598
40	"ENSG00000142207"	"URB1"	chr21	-	32373646	32373772	32378444	32378541	32372506	32372631	32383421	32383554
41	"ENSG00000142168"	"SOD1"	chr21	+	31663789	31663886	31666448	31666518	31659692	31659841	31667257	31667375
42	"ENSG00000156299"	"TIAM1"	chr21	-	31141324	31141504	31146894	31147003	31141117	31141236	31152635	31152761
43	"ENSG00000156299"	"TIAM1"	chr21	-	31276731	31276908	31339242	31339422	31266009	31266983	31463982	31464035
44	"ENSG00000156299"	"TIAM1"	chr21	-	31339242	31339422	31463982	31464035	31276731	31276908	31558926	31558977
45	"ENSG00000156273"	"BACH1"	chr21	+	29218860	29218926	29270356	29270456	29194146	29194260	29321220	29321355
46	"ENSG00000237484"	"LINC01684"	chr21	+	24485622	24485685	24522888	24522999	24441794	24441913	24526342	24526892
47	"ENSG00000224924"	"LINC00320"	chr21	-	20757218	20757417	20778183	20778344	20742920	20743833	20778417	20778547
48	"ENSG00000224924"	"LINC00320"	chr21	-	20778642	20778762	20780810	20780907	20778417	20778547	20781348	20781474
49	"ENSG00000224924"	"LINC00320"	chr21	-	20778642	20778796	20780810	20780907	20778417	20778547	20781348	20781474
50	"ENSG00000215386"	"MIR99AHG"	chr21	+	16231055	16231115	16391613	16391685	16181590	16181687	16487489	16488346
51	"ENSG00000215386"	"MIR99AHG"	chr21	+	16257392	16257454	16352128	16352273	16231055	16231115	16391613	16391685
52	"ENSG00000215386"	"MIR99AHG"	chr21	+	16257392	16257454	16383159	16383304	16231055	16231115	16391613	16391685
53	"ENSG00000215386"	"MIR99AHG"	chr21	+	16257392	16257454	16391613	16391685	16231055	16231115	16487489	16487538
54	"ENSG00000215386"	"MIR99AHG"	chr21	+	16352128	16352273	16383159	16383304	16231055	16231115	16391613	16391685
55	"ENSG00000215386"	"MIR99AHG"	chr21	+	16352128	16352273	16391613	16391685	16231055	16231115	16487489	16488346
56	"ENSG00000215386"	"MIR99AHG"	chr21	+	16521718	16521816	16535033	16535709	16487489	16487538	16537378	16537439
57	"ENSG00000215386"	"MIR99AHG"	chr21	+	16537378	16537439	16589352	16589413	16487489	16487538	16594339	16594454
58	"ENSG00000215386"	"MIR99AHG"	chr21	+	16537378	16537439	16589352	16589540	16487489	16487538	16594339	16594454
59	"ENSG00000215386"	"MIR99AHG"	chr21	+	16537378	16537439	16594339	16594454	16487489	16487538	16606993	16607087
60	"ENSG00000215386"	"MIR99AHG"	chr21	+	16564773	16564809	16589352	16589467	16537378	16537439	16594339	16594454
61	"ENSG00000215386"	"MIR99AHG"	chr21	+	16564773	16564809	16589352	16589540	16537378	16537439	16594339	16594454
62	"ENSG00000215386"	"MIR99AHG"	chr21	+	16564773	16564809	16589352	16589557	16537378	16537439	16594339	16594454
63	"ENSG00000215386"	"MIR99AHG"	chr21	+	16564773	16564809	16594339	16594454	16537378	16537439	16606993	16607135
64	"ENSG00000155313"	"USP25"	chr21	+	15833347	15833548	15842397	15842540	15831400	15831629	15864267	15864446
65	"ENSG00000155313"	"USP25"	chr21	+	15842397	15842540	15864267	15864446	15833347	15833548	15866265	15866344
66	"ENSG00000229425"	"AJ009632.2"	chr21	-	15393970	15394043	15394999	15395129	15390577	15390618	15395462	15395497
67	"ENSG00000228159"	"LINC01674"	chr21	+	13556392	13556511	13565664	13565781	13546979	13547128	13574596	13574999
68	"ENSG00000275895"	"U2AF1L5"	chr21	-	6492130	6492197	6492254	6492292	6487362	6487412	6495992	6496080
69	"ENSG00000275895"	"U2AF1L5"	chr21	-	6492130	6492197	6493043	6493110	6487362	6487412	6495992	6496080
70	"ENSG00000275895"	"U2AF1L5"	chr21	-	6492254	6492292	6493043	6493110	6487362	6487412	6495992	6496080
