ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	18226	18432	16870	16922	18896	18969	1	0,4,0,0,0	0,0,0,0,0	0,0,0,0,33,0,0,0,0,0,34,0,0,0,506,11	0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0	298	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.966,1.0	0.008
3	"ENSG00000160305"	"DIP2A"	chr21	+	46498581	46498833	46496987	46497107	46509256	46509376	3	0,2,0,0,0	0,0,0,0,0	0,0,0,0,35,0,0,0,0,0,16,0,0,0,3,7	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	298	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.778	0.055
4	"ENSG00000160305"	"DIP2A"	chr21	+	46504360	46504489	46498581	46498833	46509256	46509376	4	0,16,0,0,0	0,0,0,0,0	0,0,0,0,54,0,0,0,0,0,37,0,0,0,18,22	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1	278	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.952,NA,NA,NA,1.0,0.922	0.031
6	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46246306	46246886	46254391	46254526	6	0,179,2,0,0	0,0,0,0,0	0,0,0,0,223,0,0,0,0,0,394,0,0,0,364,84	0,0,0,0,35,0,0,0,0,0,3,0,0,0,0,4	298	149	1	1.0	NA,1.0,1.0,NA,NA	NA,NA,NA,NA,0.761,NA,NA,NA,NA,NA,0.985,NA,NA,NA,1.0,0.913	0.085
7	"ENSG00000160285"	"LSS"	chr21	-	46191065	46191235	46188140	46188821	46191880	46191959	7	0,565,0,0,0	0,6,0,0,0	0,0,0,0,255,0,0,2,0,0,243,0,0,0,60,14	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	298	149	1	1.0	NA,0.979,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.984,NA,NA,NA,1.0,1.0	-0.018
8	"ENSG00000160285"	"LSS"	chr21	-	46191075	46191235	46188445	46188821	46191880	46193487	8	0,649,0,0,0	0,6,0,0,0	0,0,0,0,284,0,0,2,0,0,243,0,0,0,60,15	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	298	149	1	1.0	NA,0.982,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.984,NA,NA,NA,1.0,1.0	-0.015
9	"ENSG00000160285"	"LSS"	chr21	-	46196201	46196267	46195675	46195756	46205835	46205941	9	0,241,0,0,0	0,15,0,0,0	0,0,0,0,96,0,0,0,0,0,232,0,0,0,6,12	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	215	149	1	1.0	NA,0.918,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.988,NA,NA,NA,1.0,1.0	-0.079
10	"ENSG00000160285"	"LSS"	chr21	-	46219475	46219572	46216388	46216524	46221853	46221975	10	0,103,0,0,0	0,8,0,0,0	0,0,0,0,131,0,0,0,0,0,244,0,0,0,69,6	0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0	246	149	1	1.0	NA,0.886,NA,NA,NA	NA,NA,NA,NA,0.988,NA,NA,NA,NA,NA,0.974,NA,NA,NA,1.0,1.0	-0.104
11	"ENSG00000142173"	"COL6A2"	chr21	+	46120514	46120577	46119787	46119850	46121060	46121123	11	0,198,0,0,4	0,0,0,0,0	0,0,0,0,1231,0,0,0,0,0,4586,0,0,0,14,191	0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	212	149	1	1.0	NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.999,NA,NA,NA,1.0,1.0	0.0
12	"ENSG00000142173"	"COL6A2"	chr21	+	46122107	46122158	46121555	46121618	46122495	46122531	12	0,149,0,0,0	0,0,0,0,0	0,0,0,0,1150,0,0,0,2,0,3774,0,0,0,24,396	0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0	200	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,0.995,NA,NA,NA,1.0,1.0	0.001
13	"ENSG00000142173"	"COL6A2"	chr21	+	46125265	46125311	46124884	46124920	46125464	46125617	13	0,243,0,0,4	0,2,0,0,0	0,0,0,0,1697,0,0,0,6,2,4774,0,0,0,132,209	0,0,0,0,77,0,0,0,0,0,17,0,0,0,0,0	195	149	1	1.0	NA,0.989,NA,NA,1.0	NA,NA,NA,NA,0.944,NA,NA,NA,1.0,1.0,0.995,NA,NA,NA,1.0,1.0	0.005
14	"ENSG00000142173"	"COL6A2"	chr21	+	46126502	46126541	46125784	46126237	46131953	46132848	14	0,450,0,0,0	0,0,0,0,0	0,0,0,0,1614,0,0,0,0,0,5968,0,0,0,92,105	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	188	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0	0.0
26	"ENSG00000182871"	"COL18A1"	chr21	+	45480069	45480156	45479901	45479964	45480466	45480520	26	0,746,0,0,3	0,0,0,0,0	0,0,0,0,383,0,0,0,0,0,1556,0,0,0,23,52	0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0	236	149	1	1.0	NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,0.989,NA,NA,NA,1.0,1.0	0.003
27	"ENSG00000182871"	"COL18A1"	chr21	+	45482794	45482821	45481962	45482025	45486860	45486992	27	0,551,0,0,4	0,0,0,0,0	0,0,0,0,236,0,0,4,4,0,1173,0,0,0,4,60	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	176	149	1	1.0	NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,1.0,1.0,NA,0.999,NA,NA,NA,1.0,1.0	0.0
28	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45486860	45486992	45488417	45488444	28	0,954,0,0,12	0,0,0,0,0	0,0,0,0,341,0,0,0,0,6,1683,0,0,0,9,223	0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0	212	149	1	1.0	NA,1.0,NA,NA,1.0	NA,NA,NA,NA,0.941,NA,NA,NA,NA,1.0,0.999,NA,NA,NA,1.0,1.0	0.012
29	"ENSG00000182871"	"COL18A1"	chr21	+	45488417	45488444	45487446	45487509	45489485	45489521	29	0,780,0,0,14	0,0,0,0,0	0,0,0,0,208,0,0,2,2,8,1324,0,0,0,14,229	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	176	149	1	1.0	NA,1.0,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,1.0,1.0,1.0,1.0,NA,NA,NA,1.0,0.995	0.001
30	"ENSG00000182871"	"COL18A1"	chr21	+	45489485	45489521	45488417	45488444	45490274	45490346	30	0,961,0,0,18	0,6,0,0,0	0,0,0,0,359,0,0,2,2,10,1745,0,0,0,27,248	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3	185	149	1	1.0	NA,0.992,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,1.0,1.0,1.0,0.998,NA,NA,NA,1.0,0.985	-0.002
31	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45493500	45493575	45494861	45494915	31	0,1133,0,0,20	0,5,0,0,0	0,0,0,0,331,0,0,0,6,6,1756,0,0,0,38,206	0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0	176	149	1	1.0	NA,0.995,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0,0.999,NA,NA,NA,0.941,1.0	0.007
32	"ENSG00000182871"	"COL18A1"	chr21	+	45494861	45494915	45494544	45494571	45495357	45495432	32	0,1471,0,0,22	0,0,0,0,0	0,0,0,0,520,0,0,0,6,6,2175,0,0,0,48,206	0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0	203	149	1	1.0	NA,1.0,NA,NA,1.0	NA,NA,NA,NA,0.941,NA,NA,NA,1.0,1.0,1.0,NA,NA,NA,1.0,1.0	0.01
33	"ENSG00000182871"	"COL18A1"	chr21	+	45504415	45504556	45504010	45504054	45505133	45505278	33	0,898,0,0,8	0,6,0,0,0	0,0,0,0,288,0,0,5,0,2,913,0,0,0,27,101	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	290	149	1	1.0	NA,0.987,NA,NA,1.0	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,1.0,1.0,NA,NA,NA,1.0,1.0	-0.006
35	"ENSG00000186866"	"POFUT2"	chr21	-	45266021	45266227	45263927	45265635	45267589	45267713	35	0,51,0,0,0	0,46,0,0,0	0,0,0,0,73,0,0,0,0,0,36,0,0,0,12,5	0,0,0,0,31,0,0,0,0,0,61,0,0,0,22,2	298	149	1	1.0	NA,0.357,NA,NA,NA	NA,NA,NA,NA,0.541,NA,NA,NA,NA,NA,0.228,NA,NA,NA,0.214,0.556	-0.028
36	"ENSG00000186866"	"POFUT2"	chr21	-	45277232	45277773	45277016	45277142	45278102	45278169	36	0,19,0,0,0	0,14,0,0,0	0,0,0,0,18,0,0,0,0,0,12,0,0,0,0,0	0,0,0,0,74,0,0,0,0,0,62,0,0,0,18,5	298	149	1	1.0	NA,0.404,NA,NA,NA	NA,NA,NA,NA,0.108,NA,NA,NA,NA,NA,0.088,NA,NA,NA,0.0,0.0	0.355
38	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282348	45282459	45283351	45283527	38	0,9,0,0,0	0,5,0,0,0	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,7,0,0,0,0,0,3,0,0,0,4,2	284	149	1	1.0	NA,0.486,NA,NA,NA	NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0	0.408
39	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282348	45282459	45283382	45283527	39	0,5,0,0,0	0,24,0,0,0	0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,70,0,0,0,2,0,50,0,0,0,24,0	284	149	1	1.0	NA,0.099,NA,NA,NA	NA,NA,NA,NA,0.043,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,NA	0.088
40	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282368	45282398	45283351	45283527	40	0,4,0,0,0	0,0,0,0,0	0,0,0,0,30,0,0,0,0,0,7,0,0,0,8,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2	284	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,0.0	0.25
43	"ENSG00000186866"	"POFUT2"	chr21	-	45285268	45285328	45283351	45283527	45285677	45285928	43	0,2,2,0,0	0,33,2,0,0	0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0	0,0,0,0,39,0,0,0,0,0,66,0,0,0,29,3	209	149	1	1.0	NA,0.041,0.416,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.021,NA,NA,NA,0.228,0.0	0.166
45	"ENSG00000160255"	"ITGB2"	chr21	-	44888692	44888895	44886735	44886902	44889275	44889495	45	0,513,0,0,0	0,0,0,0,0	0,0,0,0,3089,0,0,0,4,8,1226,0,0,0,47,94	0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	298	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0,0.995,NA,NA,NA,1.0,1.0	0.001
46	"ENSG00000160255"	"ITGB2"	chr21	-	44891808	44891996	44889977	44890222	44893403	44893544	46	0,199,0,0,2	0,1,0,0,0	0,0,0,0,1440,0,0,0,2,0,837,0,0,0,160,68	0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3	298	149	1	1.0	NA,0.99,NA,NA,1.0	NA,NA,NA,NA,0.974,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,1.0,0.919	0.016
47	"ENSG00000160255"	"ITGB2"	chr21	-	44898541	44898613	44894970	44895060	44899066	44899162	47	0,0,0,0,0	0,86,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3	0,0,0,0,652,0,0,0,0,0,381,0,0,0,90,6	221	149	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.252	-0.063
49	"ENSG00000160255"	"ITGB2"	chr21	-	44908073	44908182	44906914	44907095	44910283	44910372	49	0,72,0,0,0	0,70,0,0,0	0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,433,0,0,0,2,0,414,0,0,0,9,43	258	149	1	1.0	NA,0.373,NA,NA,NA	NA,NA,NA,NA,0.216,NA,NA,NA,0.0,NA,0.0,NA,NA,NA,0.0,0.0	0.33
50	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910372	44906914	44907095	44910599	44910630	50	0,69,0,0,0	0,0,0,0,0	0,0,0,0,293,0,0,0,2,0,345,0,0,0,9,39	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	238	149	1	1.0	NA,1.0,NA,NA,NA	NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,1.0,0.961	0.008
