ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	12800	12964	11706	11758	16870	16922	0	75	0	83,99	0,1	313	149	1	1.0	1.0	1.0,0.979	0.01
1	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	21056	21159	20006	20221	22932	23113	1	26	0	24,17	1,0	252	149	1	1.0	1.0	0.934,1.0	0.033
2	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	27336	27439	26290	26505	29278	29488	2	36	16	35,41	0,8	252	149	0.00248302350229	0.061653893541672965	0.571	1.0,0.752	-0.305
3	"ENSG00000160305"	"DIP2A"	chr21	+	46490599	46490719	46484756	46484828	46496987	46497107	3	83	0	151,93	1,0	269	149	1	1.0	1.0	0.988,1.0	0.006
4	"ENSG00000160305"	"DIP2A"	chr21	+	46498581	46498833	46496987	46497107	46504360	46504489	4	178	1	383,160	0,1	401	149	0.605820613826	1.0	0.985	1.0,0.983	-0.007
5	"ENSG00000160305"	"DIP2A"	chr21	+	46504360	46504489	46498581	46498833	46509256	46509376	5	105	1	204,84	1,2	278	149	0.674370598629	1.0	0.983	0.991,0.957	0.009
6	"ENSG00000160305"	"DIP2A"	chr21	+	46509256	46509376	46504312	46504489	46511416	46511614	6	136	0	406,131	1,0	269	149	1	1.0	1.0	0.996,1.0	0.002
7	"ENSG00000160305"	"DIP2A"	chr21	+	46529091	46529183	46511416	46511614	46532126	46532237	7	56	1	136,76	2,2	241	149	0.70148913683	1.0	0.972	0.977,0.959	0.004
8	"ENSG00000160305"	"DIP2A"	chr21	+	46534584	46534687	46534003	46534113	46537223	46537288	8	71	0	90,70	2,0	252	149	0.703649099924	1.0	1.0	0.964,1.0	0.018
9	"ENSG00000160305"	"DIP2A"	chr21	+	46559833	46559863	46558222	46558393	46560721	46560783	9	0	39	2,0	26,32	179	149	0.420252718293	1.0	0.0	0.06,0.0	-0.03
10	"ENSG00000160305"	"DIP2A"	chr21	+	46561747	46561805	46560721	46560783	46563857	46563932	10	57	2	30,67	0,0	207	149	0.668180121966	1.0	0.954	1.0,1.0	-0.046
11	"ENSG00000160305"	"DIP2A"	chr21	+	46566559	46566683	46565712	46565887	46567369	46569585	11	93	0	275,94	1,0	273	149	1	1.0	1.0	0.993,1.0	0.004
12	"ENSG00000160294"	"MCM3AP"	chr21	-	46242801	46242931	46240810	46241017	46243464	46243722	12	288	1	243,371	1,0	279	149	1	1.0	0.994	0.992,1.0	-0.002
13	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46246306	46246886	46254391	46254526	13	248	6	320,357	4,2	303	149	0.0789674511235	0.5215651144676086	0.953	0.975,0.989	-0.029
14	"ENSG00000160294"	"MCM3AP"	chr21	-	46264116	46264217	46261279	46261411	46265320	46265523	14	287	0	303,322	2,0	250	149	1	1.0	1.0	0.989,1.0	0.006
15	"ENSG00000160294"	"MCM3AP"	chr21	-	46270400	46270563	46266981	46267142	46272560	46272829	15	194	0	140,275	0,3	312	149	1	1.0	1.0	1.0,0.978	0.011
16	"ENSG00000160294"	"MCM3AP"	chr21	-	46272560	46272829	46270400	46270563	46273387	46273585	16	293	0	372,359	1,0	418	149	1	1.0	1.0	0.993,1.0	0.004
17	"ENSG00000160294"	"MCM3AP"	chr21	-	46277526	46277717	46275185	46275325	46283614	46283838	17	258	0	313,289	0,1	340	149	1	1.0	1.0	1.0,0.992	0.004
18	"ENSG00000160294"	"MCM3AP"	chr21	-	46279992	46280137	46277526	46277717	46283614	46283838	18	117	0	142,125	0,1	294	149	1	1.0	1.0	1.0,0.984	0.008
19	"ENSG00000160294"	"MCM3AP"	chr21	-	46280496	46280575	46279992	46280137	46283614	46283838	19	207	0	287,243	1,1	228	149	1	1.0	1.0	0.995,0.994	0.006
20	"ENSG00000160285"	"LSS"	chr21	-	46191065	46191235	46188140	46188821	46191880	46191959	20	45	0	35,97	0,1	319	149	1	1.0	1.0	1.0,0.978	0.011
21	"ENSG00000160285"	"LSS"	chr21	-	46191075	46191235	46188445	46188821	46191880	46193487	21	51	0	38,97	0,1	309	149	1	1.0	1.0	1.0,0.979	0.01
22	"ENSG00000160285"	"LSS"	chr21	-	46196201	46196267	46195675	46195756	46205835	46205941	22	71	0	80,114	2,0	215	149	1	1.0	1.0	0.965,1.0	0.018
23	"ENSG00000160285"	"LSS"	chr21	-	46215684	46215793	46215179	46215298	46216388	46216524	23	144	0	128,206	4,0	258	149	0.545890734486	1.0	1.0	0.949,1.0	0.026
24	"ENSG00000160285"	"LSS"	chr21	-	46219475	46219572	46216388	46216524	46221853	46221975	24	134	1	85,201	4,3	246	149	0.133226618561	0.7153385349666651	0.988	0.928,0.976	0.036
25	"ENSG00000160285"	"LSS"	chr21	-	46221853	46221975	46219475	46219572	46227551	46227690	25	91	0	55,126	0,1	271	149	1	1.0	1.0	1.0,0.986	0.007
26	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46221853	46221975	46227551	46227690	26	99	0	108,177	1,0	258	149	1	1.0	1.0	0.984,1.0	0.008
27	"ENSG00000160285"	"LSS"	chr21	-	46222662	46222738	46221853	46221975	46227551	46227690	27	41	0	42,84	1,0	225	149	1	1.0	1.0	0.965,1.0	0.018
28	"ENSG00000142173"	"COL6A2"	chr21	+	46114007	46114073	46112803	46112824	46115871	46115925	28	2512	0	1711,1881	4,0	215	149	1	1.0	1.0	0.997,1.0	0.002
29	"ENSG00000142173"	"COL6A2"	chr21	+	46120514	46120577	46119787	46119850	46121060	46121123	29	1219	0	430,1307	3,0	212	149	1	1.0	1.0	0.99,1.0	0.005
30	"ENSG00000142173"	"COL6A2"	chr21	+	46122107	46122158	46121555	46121618	46122495	46122531	30	1905	1	1013,1517	0,0	200	149	1	1.0	0.999	1.0,1.0	-0.001
31	"ENSG00000142173"	"COL6A2"	chr21	+	46122495	46122531	46122107	46122158	46122874	46122937	31	1633	0	903,1308	0,2	185	149	1	1.0	1.0	1.0,0.998	0.001
32	"ENSG00000142173"	"COL6A2"	chr21	+	46122874	46122937	46122495	46122531	46124650	46124713	32	1999	0	1156,1600	1,0	212	149	1	1.0	1.0	0.999,1.0	0.0
33	"ENSG00000142173"	"COL6A2"	chr21	+	46125265	46125311	46124884	46124920	46125464	46125617	33	1837	23	857,1454	21,12	195	149	0.683873169875	1.0	0.984	0.969,0.989	0.005
38	"ENSG00000183570"	"PCBP3"	chr21	+	45755416	45755452	45735391	45735429	45849960	45850095	38	1	1	0,0	0,2	185	149	1	1.0	0.446	NA,0.0	0.446
39	"ENSG00000183570"	"PCBP3"	chr21	+	45849960	45850095	45735391	45735429	45896207	45896362	39	6	1	0,8	0,0	284	149	1	1.0	0.759	NA,1.0	-0.241
