ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	12800	12964	11706	11758	16870	16922
1	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	18226	18432	16870	16922	18896	18969
2	"ENSG00000271254"	"AC240274.1"	chrKI270711.1	-	27336	27439	26290	26505	29278	29488
3	"ENSG00000160305"	"DIP2A"	chr21	+	46498581	46498833	46496987	46497107	46509256	46509376
4	"ENSG00000160305"	"DIP2A"	chr21	+	46504360	46504489	46498581	46498833	46509256	46509376
5	"ENSG00000160305"	"DIP2A"	chr21	+	46559833	46559863	46558222	46558393	46560721	46560783
6	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46246306	46246886	46254391	46254526
7	"ENSG00000160285"	"LSS"	chr21	-	46191065	46191235	46188140	46188821	46191880	46191959
8	"ENSG00000160285"	"LSS"	chr21	-	46191075	46191235	46188445	46188821	46191880	46193487
9	"ENSG00000160285"	"LSS"	chr21	-	46196201	46196267	46195675	46195756	46205835	46205941
10	"ENSG00000160285"	"LSS"	chr21	-	46219475	46219572	46216388	46216524	46221853	46221975
11	"ENSG00000142173"	"COL6A2"	chr21	+	46120514	46120577	46119787	46119850	46121060	46121123
12	"ENSG00000142173"	"COL6A2"	chr21	+	46122107	46122158	46121555	46121618	46122495	46122531
13	"ENSG00000142173"	"COL6A2"	chr21	+	46125265	46125311	46124884	46124920	46125464	46125617
14	"ENSG00000142173"	"COL6A2"	chr21	+	46126502	46126541	46125784	46126237	46131953	46132848
15	"ENSG00000183570"	"PCBP3"	chr21	+	45668873	45668952	45643724	45643868	45735391	45735429
16	"ENSG00000183570"	"PCBP3"	chr21	+	45728675	45728748	45643693	45643868	45735391	45735429
17	"ENSG00000183570"	"PCBP3"	chr21	+	45744230	45744337	45735391	45735429	45749380	45749475
18	"ENSG00000183570"	"PCBP3"	chr21	+	45744230	45744337	45735391	45735429	45849960	45850095
19	"ENSG00000183570"	"PCBP3"	chr21	+	45755416	45755452	45735391	45735429	45849960	45850095
20	"ENSG00000183570"	"PCBP3"	chr21	+	45913950	45914025	45910901	45911030	45917587	45917629
21	"ENSG00000183570"	"PCBP3"	chr21	+	45913950	45914094	45910901	45911030	45917587	45917629
