ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46125265	46125311	1	6	1250	8,3	506,987	197	149	1	1.0	0.004	0.012,0.002	-0.003
2	"ENSG00000142173"	"COL6A2"	chr21	+	46128902	46129808	46129195	46129808	46126502	46126541	2	20	133	5,21	27,126	298	149	0.811536836309	1.0	0.07	0.085,0.077	-0.011
3	"ENSG00000183570"	"PCBP3"	chr21	+	45929916	45929995	45929919	45929995	45917587	45917629	3	4	0	0,5	0,1	152	149	1	1.0	1.0	NA,0.831	0.169
5	"ENSG00000182871"	"COL18A1"	chr21	+	45505834	45505966	45505837	45505966	45505357	45505431	5	361	1553	11,154	45,686	152	149	0.838929851227	1.0	0.186	0.193,0.18	-0.001
6	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019	6	84	0	127,75	0,1	298	149	1	1.0	1.0	1.0,0.974	0.013
7	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910599	44910785	7	4	2	19,24	19,10	192	149	0.626100117473	1.0	0.608	0.437,0.651	0.064
8	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910724	44910785	8	4	197	19,25	420,1058	192	149	0.283678897045	0.7896275395947502	0.016	0.034,0.018	-0.01
13	"ENSG00000160216"	"AGPAT3"	chr21	+	43967868	43968115	43967945	43968115	43960631	43960779	13	4	8	16,3	2,5	226	149	0.0825296828745	0.4144075732644656	0.248	0.841,0.283	-0.314
14	"ENSG00000160209"	"PDXK"	chr21	+	43743668	43743807	43743723	43743807	43741666	43741771	14	3	314	1,1	240,546	204	149	1	1.0	0.007	0.003,0.001	0.005
15	"ENSG00000160209"	"PDXK"	chr21	+	43755476	43755764	43755697	43755764	43753582	43753719	15	9	353	20,12	320,589	298	149	0.350440458208	0.8687256698511606	0.013	0.03,0.01	-0.007
17	"ENSG00000184012"	"TMPRSS2"	chr21	-	41464304	41466153	41464304	41466149	41467733	41467886	17	328	7	50,157	0,1	153	149	0.175071134507	0.6208436576388021	0.979	1.0,0.994	-0.018
18	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44316243	44316339	44313637	44313682	18	976	3	406,761	0,1	298	149	1	1.0	0.994	1.0,0.997	-0.004
19	"ENSG00000141959"	"PFKL"	chr21	+	44325731	44326060	44325960	44326060	44325152	44325264	19	22	588	78,17	207,429	298	149	3.25345795316e-06	0.0005707395919958341	0.018	0.159,0.019	-0.071
21	"ENSG00000159267"	"HLCS"	chr21	-	36756541	36756980	36756541	36756755	36759726	36759841	21	8	98	6,7	29,77	298	149	0.464536298037	0.9746921690504334	0.039	0.094,0.043	-0.03
22	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36059821	36060242	22	10	0	18,8	0,1	198	149	1	1.0	1.0	1.0,0.858	0.071
