ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
187	"ENSG00000118705"	"RPN2"	chr20	+	37198396	37198492	37199049	37199225	37184179	37184373	37203884	37203960	187	4	8	0,2	4,2	245	298	0.137067478028	0.3239776753389091	0.378	0.0,0.549	0.103
259	"ENSG00000124155"	"PIGT"	chr20	+	45416516	45416694	45418851	45418979	45416140	45416343	45419294	45419395	259	2	0	2,0	2,2	298	277	1.56062281979e-05	0.00011593198089868573	1.0	0.482,0.0	0.759
275	"ENSG00000185624"	"P4HB"	chr17	-	81846946	81847068	81847242	81847347	81846428	81846629	81855141	81855279	275	10	12	0,4	4,7	254	271	0.107439201995	0.29690336636589476	0.471	0.0,0.379	0.281
415	"ENSG00000039068"	"CDH1"	chr16	+	68808692	68808848	68810196	68810341	68808423	68808567	68811683	68811859	415	2	4	0,4	0,0	298	294	1	1.0	0.33	NA,1.0	-0.67
471	"ENSG00000008517"	"IL32"	chr16	+	3067553	3067613	3067983	3068010	3067376	3067415	3068179	3068239	471	2	4	0,4	0,0	209	176	1	1.0	0.296	NA,1.0	-0.704
480	"ENSG00000142192"	"APP"	chr21	-	25997359	25997416	26000014	26000182	25982343	25982477	26021839	26022042	480	2	2	8,2	2,0	298	206	0.0332373576677	0.14402854989336666	0.409	0.734,1.0	-0.458
533	"ENSG00000166035"	"LIPC"	chr15	+	58538332	58538517	58541784	58541967	58431990	58432120	58542533	58542651	533	4	1	0,4	2,0	298	298	0.884982827627	1.0	0.8	0.0,1.0	0.3
606	"ENSG00000100577"	"GSTZ1"	chr14	+	77327471	77327552	77327911	77328037	77326837	77326905	77329122	77329201	606	0	1	2,0	0,0	230	275	1	1.0	0.0	1.0,NA	-1.0
711	"ENSG00000112679"	"DUSP22"	chr6	+	311879	311914	335113	335163	304627	304661	345853	345928	711	0	2	2,0	0,0	184	199	1	1.0	0.0	1.0,NA	-1.0
712	"ENSG00000112679"	"DUSP22"	chr6	+	311879	311962	335113	335163	304627	304661	345853	345928	712	0	2	2,0	0,0	232	199	1	1.0	0.0	1.0,NA	-1.0
719	"ENSG00000166278"	"C2"	chr6	+	31933866	31933965	31935922	31936061	31933609	31933783	31937318	31937459	719	6	0	2,0	4,4	248	288	2.42073078938e-06	2.4335935399966665e-05	1.0	0.367,0.0	0.817
806	"ENSG00000113648"	"MACROH2A1"	chr5	-	135350822	135350913	135352945	135353045	135345967	135346057	135360496	135360607	806	2	0	0,2	2,0	249	240	0.108483922326	0.29690336636589476	1.0	0.0,1.0	0.5
