ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46125265	46125311	1	0,0,0,0,6	0,191,0,0,1250	1,0,0,0,11,0,0,0,8,3,29,0,0,0,9,2	31,0,0,0,1201,0,1,21,506,987,3702,143,0,0,159,199	197	149	1	1.0	NA,0.0,NA,NA,0.004	0.024,NA,NA,NA,0.007,NA,0.0,0.0,0.012,0.002,0.006,0.0,NA,NA,0.041,0.008	-0.008
2	"ENSG00000142173"	"COL6A2"	chr21	+	46128902	46129808	46129195	46129808	46126502	46126541	2	0,7,0,0,20	0,79,0,0,133	0,0,0,0,39,0,0,2,5,21,39,0,0,0,0,2	3,0,0,0,402,0,0,4,27,126,1027,17,0,0,13,7	298	149	1	1.0	NA,0.042,NA,NA,0.07	0.0,NA,NA,NA,0.046,NA,NA,0.2,0.085,0.077,0.019,0.0,NA,NA,0.0,0.125	-0.005
3	"ENSG00000183570"	"PCBP3"	chr21	+	45929916	45929995	45929919	45929995	45917587	45917629	3	0,0,0,0,4	0,0,0,0,0	2,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	152	149	1	1.0	NA,NA,NA,NA,1.0	1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.831,NA,NA,1.0,NA,NA,1.0	0.042
5	"ENSG00000182871"	"COL18A1"	chr21	+	45505834	45505966	45505837	45505966	45505357	45505431	5	0,203,0,0,361	0,1040,0,0,1553	0,0,0,0,49,0,0,6,11,154,120,5,0,0,0,16	1,0,0,0,151,0,0,29,45,686,722,19,0,0,2,39	152	149	1	1.0	NA,0.161,NA,NA,0.186	0.0,NA,NA,NA,0.241,NA,NA,0.169,0.193,0.18,0.14,0.205,NA,NA,0.0,0.287	0.016
6	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019	6	6,81,10,6,84	0,0,0,0,0	7,2,0,0,99,5,6,14,127,75,71,4,15,0,46,8	0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0	298	149	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,NA,NA,1.0,0.556,1.0,1.0,1.0,0.974,1.0,1.0,1.0,NA,1.0,1.0	0.036
7	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910599	44910785	7	0,0,0,0,4	0,0,0,0,2	0,0,0,0,15,0,0,0,19,24,11,0,0,0,0,1	0,0,0,0,0,0,0,0,19,10,2,0,0,0,0,0	192	149	1	1.0	NA,NA,NA,NA,0.608	NA,NA,NA,NA,1.0,NA,NA,NA,0.437,0.651,0.81,NA,NA,NA,NA,1.0	-0.172
8	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910724	44910785	8	0,4,0,0,4	0,200,0,0,197	0,0,0,0,23,0,0,0,19,25,11,0,0,0,0,0	2,0,0,0,907,0,0,12,420,1058,479,29,0,0,0,24	192	149	1	1.0	NA,0.015,NA,NA,0.016	0.0,NA,NA,NA,0.019,NA,NA,0.0,0.034,0.018,0.018,0.0,NA,NA,NA,0.0	0.004
13	"ENSG00000160216"	"AGPAT3"	chr21	+	43967868	43968115	43967945	43968115	43960631	43960779	13	0,0,0,0,4	0,0,0,2,8	3,0,0,0,0,0,0,0,16,3,2,2,0,0,0,0	0,0,0,0,0,0,0,0,2,5,1,0,1,2,1,6	226	149	1	1.0	NA,NA,NA,0.0,0.248	1.0,NA,NA,NA,NA,NA,NA,NA,0.841,0.283,0.569,1.0,0.0,0.0,0.0,0.0	-0.286
14	"ENSG00000160209"	"PDXK"	chr21	+	43743668	43743807	43743723	43743807	43741666	43741771	14	4,10,0,0,3	37,206,33,36,314	4,0,1,2,36,0,0,0,1,1,29,1,0,2,0,1	49,26,9,10,632,57,29,44,240,546,567,68,145,52,165,32	204	149	0.765528569688	1.0	0.073,0.034,0.0,0.0,0.007	0.056,0.0,0.075,0.127,0.04,0.0,0.0,0.0,0.003,0.001,0.036,0.011,0.0,0.027,0.0,0.022	-0.002
15	"ENSG00000160209"	"PDXK"	chr21	+	43755476	43755764	43755697	43755764	43753582	43753719	15	0,30,0,0,9	4,499,0,0,353	0,0,0,0,18,0,0,0,20,12,25,1,1,0,0,13	40,0,0,0,1601,1,8,33,320,589,852,68,33,4,91,29	298	149	1	1.0	0.0,0.029,NA,NA,0.013	0.0,NA,NA,NA,0.006,0.0,0.0,0.0,0.03,0.01,0.014,0.007,0.015,0.0,0.0,0.183	-0.006
