ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000160305"	"DIP2A"	chr21	+	46498581	46498833	46504360	46504489	46496987	46497107	46509256	46509376
1	"ENSG00000160305"	"DIP2A"	chr21	+	46504360	46504489	46509256	46509376	46498581	46498833	46511416	46511614
2	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46254391	46254526	46246306	46246886	46254775	46254844
3	"ENSG00000160294"	"MCM3AP"	chr21	-	46270400	46270563	46272560	46272829	46266981	46267142	46273387	46273585
4	"ENSG00000142173"	"COL6A2"	chr21	+	46122107	46122158	46122495	46122531	46121555	46121618	46122874	46122937
5	"ENSG00000142173"	"COL6A2"	chr21	+	46122495	46122531	46122874	46122937	46122107	46122158	46124650	46124713
6	"ENSG00000182871"	"COL18A1"	chr21	+	45477749	45477965	45478326	45478353	45477410	45477487	45479901	45479964
7	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45488417	45488444	45486860	45486992	45489485	45489521
8	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45490274	45490346	45486860	45486992	45490835	45490871
9	"ENSG00000182871"	"COL18A1"	chr21	+	45488417	45488444	45489485	45489521	45487446	45487509	45490274	45490346
10	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45494861	45494915	45493500	45493575	45495357	45495432
11	"ENSG00000186866"	"POFUT2"	chr21	-	45283382	45283527	45285268	45285328	45282348	45282459	45285677	45285928
12	"ENSG00000160255"	"ITGB2"	chr21	-	44888692	44888895	44889275	44889495	44886735	44886902	44889977	44890222
13	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44813975	44814104	44805616	44807040	44817947	44818051
14	"ENSG00000184900"	"SUMO3"	chr21	-	44809046	44809118	44813975	44814104	44805616	44807040	44817947	44818062
15	"ENSG00000160209"	"PDXK"	chr21	+	43752517	43752629	43753582	43753719	43750499	43750545	43755697	43755764
16	"ENSG00000160208"	"RRP1B"	chr21	+	43672307	43672365	43673869	43673955	43669883	43669966	43674635	43674697
17	"ENSG00000160207"	"HSF2BP"	chr21	-	43592224	43592328	43613829	43613947	43529185	43529962	43630321	43630454
18	"ENSG00000160191"	"PDE9A"	chr21	+	42686191	42686262	42687916	42687994	42653778	42653883	42698967	42699011
19	"ENSG00000160191"	"PDE9A"	chr21	+	42687916	42687994	42698967	42699011	42653778	42653883	42733355	42733426
20	"ENSG00000160191"	"PDE9A"	chr21	+	42687916	42687994	42732069	42732124	42653778	42653883	42733355	42733426
21	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42732069	42732124	42653778	42653883	42733355	42733426
22	"ENSG00000160191"	"PDE9A"	chr21	+	42724555	42724634	42731769	42731949	42698967	42699011	42732069	42732124
23	"ENSG00000160191"	"PDE9A"	chr21	+	42731769	42731949	42732069	42732124	42698967	42699011	42733355	42733426
24	"ENSG00000160191"	"PDE9A"	chr21	+	42743775	42743860	42751115	42751197	42733355	42733426	42753989	42754064
25	"ENSG00000183036"	"PCP4"	chr21	+	39916065	39916186	39926046	39926191	39898475	39898527	39928983	39929397
26	"ENSG00000185437"	"SH3BGR"	chr21	+	39499822	39499915	39508997	39509027	39475134	39475215	39511679	39511809
27	"ENSG00000185437"	"SH3BGR"	chr21	+	39508997	39509027	39511679	39511809	39475134	39475215	39515087	39515270
28	"ENSG00000185437"	"SH3BGR"	chr21	+	39508997	39509027	39511679	39511809	39499822	39499915	39515087	39515207
29	"ENSG00000285815"	"GET1-SH3BGR"	chr21	+	39499822	39499915	39511679	39511809	39475134	39475215	39515087	39515321
30	"ENSG00000157557"	"ETS2"	chr21	+	38819502	38819766	38821585	38821704	38818424	38818646	38822673	38823783
31	"ENSG00000141959"	"PFKL"	chr21	+	44311005	44311083	44312104	44312294	44306680	44306754	44312977	44313143
32	"ENSG00000182670"	"TTC3"	chr21	+	37129002	37129063	37132681	37132766	37126079	37126143	37135379	37135411
33	"ENSG00000182670"	"TTC3"	chr21	+	37148545	37148647	37150077	37150170	37147480	37147603	37151892	37152029
34	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37158130	37158203	37156654	37156906	37159698	37159745
35	"ENSG00000159267"	"HLCS"	chr21	-	36896859	36897131	36930250	36930433	36767217	36767285	36936448	36937392
36	"ENSG00000159267"	"HLCS"	chr21	-	36938831	36938994	36946008	36946154	36936448	36937392	36962035	36962170
37	"ENSG00000159267"	"HLCS"	chr21	-	36938831	36938994	36947332	36948287	36936448	36937392	36962035	36962170
38	"ENSG00000159267"	"HLCS"	chr21	-	36938831	36938994	36962035	36962170	36936448	36937392	36990157	36990234
39	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36947332	36948287	36936448	36937392	36962035	36962170
40	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36947332	36948287	36938831	36938994	36962035	36962170
41	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36948165	36948287	36938831	36938994	36962035	36962170
42	"ENSG00000185917"	"SETD4"	chr21	-	36045581	36046011	36048307	36048396	36043781	36043956	36053582	36053620
43	"ENSG00000185917"	"SETD4"	chr21	-	36048307	36048396	36053582	36053620	36045581	36046011	36057108	36057204
44	"ENSG00000185917"	"SETD4"	chr21	-	36053582	36053620	36057108	36057204	36045581	36046011	36058815	36058924
45	"ENSG00000185917"	"SETD4"	chr21	-	36053582	36053620	36057108	36057204	36048307	36048396	36058815	36058924
46	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33909081	33909211	33903934	33904021	33912288	33912399
47	"ENSG00000159131"	"GART"	chr21	-	33505560	33505702	33505973	33506104	33504411	33504527	33509782	33509920
48	"ENSG00000159131"	"GART"	chr21	-	33505973	33506104	33509782	33509920	33505560	33505702	33511251	33511458
49	"ENSG00000159131"	"GART"	chr21	-	33509782	33509920	33511251	33511458	33505973	33506104	33516988	33517141
50	"ENSG00000159131"	"GART"	chr21	-	33530758	33530884	33531488	33531557	33528849	33528937	33532344	33532456
51	"ENSG00000159086"	"PAXBP1"	chr21	-	32761058	32761162	32762095	32762317	32759401	32759994	32764347	32764524
52	"ENSG00000166979"	"EVA1C"	chr21	+	32495026	32495170	32501414	32501495	32467695	32467848	32514813	32515389
53	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32587312	32587477	32582199	32582415	32603160	32603292
54	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32602271	32602367	32582199	32582415	32603160	32603292
55	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32587312	32587477	32602271	32602367	32582199	32582415	32603160	32603292
56	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32607648	32607716	32609837	32610005	32604124	32604283	32612104	32612146
57	"ENSG00000142207"	"URB1"	chr21	-	32352709	32352906	32353932	32354103	32350703	32350922	32354858	32354997
58	"ENSG00000142207"	"URB1"	chr21	-	32353932	32354103	32354858	32354997	32352709	32352906	32355448	32355565
59	"ENSG00000142207"	"URB1"	chr21	-	32361891	32362021	32363155	32363329	32361006	32361123	32366617	32366755
60	"ENSG00000142207"	"URB1"	chr21	-	32363155	32363329	32366617	32366755	32361891	32362021	32368402	32368598
61	"ENSG00000142207"	"URB1"	chr21	-	32373646	32373772	32378444	32378541	32372506	32372631	32383421	32383554
62	"ENSG00000142168"	"SOD1"	chr21	+	31663789	31663886	31666448	31666518	31659692	31659841	31667257	31667375
63	"ENSG00000156299"	"TIAM1"	chr21	-	31141324	31141504	31146894	31147003	31141117	31141236	31152635	31152761
64	"ENSG00000156299"	"TIAM1"	chr21	-	31195223	31195305	31202907	31203012	31187000	31187087	31210044	31210215
65	"ENSG00000156299"	"TIAM1"	chr21	-	31276731	31276908	31339242	31339422	31266009	31266983	31463982	31464035
66	"ENSG00000156299"	"TIAM1"	chr21	-	31339242	31339422	31463982	31464035	31276731	31276908	31558926	31558977
67	"ENSG00000156273"	"BACH1"	chr21	+	29218860	29218926	29270356	29270456	29194146	29194260	29321220	29321355
68	"ENSG00000154727"	"GABPA"	chr21	+	25745209	25745354	25749035	25749120	25741572	25741675	25751988	25752234
69	"ENSG00000237484"	"LINC01684"	chr21	+	24438252	24438443	24441794	24441913	24428728	24428904	24485622	24485685
70	"ENSG00000237484"	"LINC01684"	chr21	+	24441794	24441913	24485622	24485685	24438252	24438443	24526342	24526892
71	"ENSG00000237484"	"LINC01684"	chr21	+	24485622	24485685	24522888	24522999	24441794	24441913	24526342	24526892
