ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46222662	46222738	46221853	46221975	0	0,69,7,2,63	0,6,0,0,4	54,0,0,0,40,0,2,42,71,103,110,12,7,0,59,1	0,0,0,0,0,0,0,1,0,11,18,4,4,0,3,0	182	149	1	1.0	NA,0.904,1.0,1.0,0.928	1.0,NA,NA,NA,1.0,NA,1.0,0.972,1.0,0.885,0.833,0.711,0.589,NA,0.942,1.0	0.055
1	"ENSG00000183570"	"PCBP3"	chr21	+	45668873	45669032	45668873	45668952	45735391	45735429	1	0,0,0,0,1	0,0,0,0,1	0,0,4,0,0,0,0,0,7,3,0,0,0,0,6,0	1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0	229	149	1	1.0	NA,NA,NA,NA,0.394	0.0,NA,1.0,NA,NA,0.0,0.0,NA,1.0,1.0,NA,NA,NA,NA,1.0,NA	-0.177
2	"ENSG00000183570"	"PCBP3"	chr21	+	45913950	45914094	45913950	45914025	45917587	45917629	2	0,0,0,0,0	0,0,0,0,3	0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0	1,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0	218	149	1	1.0	NA,NA,NA,NA,0.0	0.0,NA,NA,NA,NA,NA,NA,NA,0.804,0.313,NA,NA,0.0,NA,NA,NA	-0.279
3	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282348	45282459	3	0,5,0,0,8	4,25,4,2,84	0,0,0,0,7,0,2,0,20,10,5,1,0,0,4,2	4,6,0,0,84,2,2,5,65,73,53,10,2,0,26,0	180	149	1	1.0	0.0,0.142,0.0,0.0,0.073	0.0,0.0,NA,NA,0.065,0.0,0.453,0.0,0.203,0.102,0.072,0.076,0.0,NA,0.113,1.0	-0.117
4	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282368	45282398	4	0,0,0,0,8	0,0,0,0,10	0,0,0,0,0,0,0,0,9,5,2,1,0,0,0,2	1,0,0,0,0,0,0,0,16,16,1,0,0,0,4,1	180	149	1	1.0	NA,NA,NA,NA,0.398	0.0,NA,NA,NA,NA,NA,NA,NA,0.318,0.206,0.623,1.0,NA,NA,0.0,0.623	0.002
5	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282803	45282938	5	0,4,0,0,2	0,0,0,0,0	0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	180	149	1	1.0	NA,1.0,NA,NA,1.0	NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,1.0,NA,NA,NA,NA,NA	0.333
6	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910372	6	0,4,0,0,3	0,200,0,0,197	0,0,0,0,37,0,0,0,42,33,2,2,2,0,0,0	2,0,0,0,907,0,0,12,420,1058,479,29,0,0,0,24	274	149	1	1.0	NA,0.011,NA,NA,0.008	0.0,NA,NA,NA,0.022,NA,NA,0.0,0.052,0.017,0.002,0.036,1.0,NA,NA,0.0	-0.116
7	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910415	7	0,4,0,0,1	0,4,0,0,0	0,0,0,0,37,0,0,0,23,23,0,2,2,0,0,1	0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0	274	149	1	1.0	NA,0.352,NA,NA,1.0	NA,NA,NA,NA,0.716,NA,NA,NA,1.0,0.926,NA,1.0,1.0,NA,NA,1.0	-0.264
8	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44809046	44809118	44805616	44807040	8	0,0,0,0,0	3,231,0,1,613	2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0	78,0,0,0,1171,14,8,84,362,687,772,59,40,7,90,48	199	149	1	1.0	0.0,0.0,NA,0.0,0.0	0.019,NA,NA,NA,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0	-0.003
9	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44813975	44814104	44809046	44809118	9	0,0,0,0,1	0,279,0,2,595	0,0,0,0,0,0,0,3,8,4,3,1,0,0,0,2	67,0,2,0,1201,12,6,70,387,666,870,42,37,0,75,93	263	149	1	1.0	NA,0.0,NA,0.0,0.001	0.0,NA,0.0,NA,0.0,0.0,0.0,0.024,0.012,0.003,0.002,0.013,0.0,NA,0.0,0.012	-0.005
10	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43732138	43732442	43734068	43734123	10	6,4,3,10,14	4,5,0,0,11	4,1,3,0,14,7,5,0,17,3,2,1,5,0,1,15	0,2,0,0,18,0,0,2,16,9,2,0,3,0,0,9	354	149	1	1.0	0.387,0.252,1.0,1.0,0.349	1.0,0.174,1.0,NA,0.247,1.0,1.0,0.0,0.309,0.123,0.296,1.0,0.412,NA,1.0,0.412	0.028
11	"ENSG00000160207"	"HSF2BP"	chr21	-	43633262	43633421	43633271	43633421	43630321	43630454	11	0,0,0,0,1	2,1,0,3,1	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0	1,0,2,0,0,2,0,1,1,1,1,1,2,0,18,0	158	149	1	1.0	0.0,0.0,NA,0.0,0.485	0.0,NA,0.0,NA,NA,0.0,NA,0.0,0.0,0.485,0.0,0.0,0.0,NA,0.0,NA	0.073
