ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886	1	35	62	77,37	63,73	298	149	0.274241215537	0.49365668871359997	0.22	0.379,0.202	-0.07
2	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235	2	13	6	22,26	3,3	298	149	0.0393047488315	0.12859861599127237	0.52	0.786,0.812	-0.279
8	"ENSG00000241945"	"PWP2"	chr21	+	44120951	44122357	44120951	44121102	44122176	44122357	8	0	50	1,0	37,57	298	149	1	1.0	0.0	0.013,0.0	-0.006
9	"ENSG00000241945"	"PWP2"	chr21	+	44124579	44126119	44124579	44124727	44126010	44126119	9	0	59	7,3	27,74	298	149	0.0122905854897	0.058888704576548205	0.0	0.115,0.02	-0.068
11	"ENSG00000205622"	"AP001042.1"	chr21	-	38904229	38905423	38904229	38904483	38904954	38905423	11	21	0	66,209	28,66	298	149	2.48227753312e-05	0.000743938576676064	1.0	0.541,0.613	0.423
13	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339	13	10	574	31,19	226,435	298	149	9.79739782969e-06	0.00039949389517797185	0.009	0.064,0.021	-0.034
14	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147	14	43	604	56,45	183,496	298	149	0.00048862257733	0.006732940624720147	0.034	0.133,0.043	-0.054
15	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44319415	44321728	44321875	15	32	2	64,41	0,0	298	149	0.132105202735	0.2960144243714355	0.889	1.0,1.0	-0.111
16	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	16	17	498	41,15	171,416	298	149	0.000287005704541	0.004563162315699612	0.017	0.107,0.018	-0.045
17	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060	17	28	0	87,21	4,2	298	149	0.0316240564125	0.10980119729321967	1.0	0.916,0.84	0.122
18	"ENSG00000182670"	"TTC3"	chr21	+	37087832	37088346	37087832	37087875	37088195	37088346	18	14	162	14,13	58,133	298	149	0.178738146145	0.371225380455	0.041	0.108,0.047	-0.036
19	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251	19	7	2	16,5	9,11	273	149	0.106702847832	0.2560212626638776	0.656	0.492,0.199	0.31
20	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33906448	33906500	33907340	33907453	20	11	0	15,10	0,2	298	149	0.646266921804	0.8541838873854855	1.0	1.0,0.714	0.143
22	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32573283	32574676	32573283	32573368	32574575	32574676	22	0	1	1,2	0,0	298	149	1.58367252076e-05	0.0005592713500959158	0.0	1.0,1.0	-1.0
25	"ENSG00000156261"	"CCT8"	chr21	-	29066715	29067071	29066715	29066777	29066890	29067071	25	17	556	9,28	313,697	262	149	0.616558647823	0.8306703832436642	0.017	0.016,0.022	-0.002
26	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762	26	9	185	26,10	134,267	298	149	0.0832455654764	0.21516770998945303	0.024	0.088,0.018	-0.029
27	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562	27	25	120	36,31	128,251	298	149	0.652415867769	0.8592794355981951	0.094	0.123,0.058	0.004
