ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45488417	45488444	45486860	45486992	45489485	45489521
1	"ENSG00000182871"	"COL18A1"	chr21	+	45488417	45488444	45489485	45489521	45487446	45487509	45490274	45490346
2	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45494861	45494915	45493500	45493575	45495357	45495432
13	"ENSG00000185917"	"SETD4"	chr21	-	36045581	36046011	36048307	36048396	36043781	36043956	36053582	36053620
14	"ENSG00000185917"	"SETD4"	chr21	-	36048307	36048396	36053582	36053620	36045581	36046011	36057108	36057204
15	"ENSG00000185917"	"SETD4"	chr21	-	36053582	36053620	36057108	36057204	36048307	36048396	36058815	36058924
16	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33909081	33909211	33903934	33904021	33912288	33912399
17	"ENSG00000166979"	"EVA1C"	chr21	+	32495026	32495170	32501414	32501495	32467695	32467848	32514813	32515389
21	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32607648	32607716	32609837	32610005	32604124	32604283	32612104	32612146
22	"ENSG00000142168"	"SOD1"	chr21	+	31663789	31663886	31666448	31666518	31659692	31659841	31667257	31667375
24	"ENSG00000154727"	"GABPA"	chr21	+	25745209	25745354	25749035	25749120	25741572	25741675	25751988	25752234
47	"ENSG00000100239"	"PPP6R2"	chr22	+	50388985	50389111	50391866	50392015	50372071	50372150	50393892	50394135
50	"ENSG00000054611"	"TBC1D22A"	chr22	+	46912073	46912188	46974289	46974399	46894783	46894846	46997633	46997709
52	"ENSG00000054611"	"TBC1D22A"	chr22	+	46974289	46974399	46997633	46997709	46912073	46912188	47037070	47037198
53	"ENSG00000054611"	"TBC1D22A"	chr22	+	46997633	46997709	47037070	47037198	46974289	46974399	47111507	47111603
54	"ENSG00000248405"	"PRR5-ARHGAP8"	chr22	+	44714590	44714671	44725243	44725292	44702232	44702608	44726576	44726634
55	"ENSG00000188677"	"PARVB"	chr22	+	44147860	44147922	44151482	44151551	44140123	44140143	44157981	44158083
57	"ENSG00000100401"	"RANGAP1"	chr22	-	41261445	41261580	41264663	41264843	41257947	41258106	41268096	41268156
58	"ENSG00000100387"	"RBX1"	chr22	+	40953554	40953633	40964046	40964117	40951377	40951476	40967798	40967884
59	"ENSG00000100387"	"RBX1"	chr22	+	40953554	40953633	40967798	40967884	40951377	40951476	40972475	40973309
60	"ENSG00000100387"	"RBX1"	chr22	+	40964046	40964117	40967798	40967884	40953554	40953633	40972475	40973309
62	"ENSG00000100372"	"SLC25A17"	chr22	-	40784512	40784604	40792524	40792676	40779008	40779125	40794513	40794580
64	"ENSG00000100242"	"SUN2"	chr22	-	38748712	38748783	38749765	38749859	38745683	38745811	38750224	38750314
65	"ENSG00000100211"	"CBY1"	chr22	+	38656955	38657143	38665545	38665685	38656675	38656750	38668016	38668132
67	"ENSG00000100129"	"EIF3L"	chr22	+	37855564	37855644	37858678	37858740	37851279	37851490	37862968	37863038
68	"ENSG00000100129"	"EIF3L"	chr22	+	37877673	37878171	37886764	37886845	37875840	37876011	37888425	37888479
70	"ENSG00000128340"	"RAC2"	chr22	-	37231931	37231994	37232800	37232918	37231230	37231390	37241586	37241658
71	"ENSG00000100365"	"NCF4"	chr22	+	36864918	36865072	36867391	36867462	36860987	36861203	36870414	36870542
82	"ENSG00000100150"	"DEPDC5"	chr22	+	31806121	31806191	31809610	31809647	31804841	31804915	31810520	31810641
83	"ENSG00000100150"	"DEPDC5"	chr22	+	31876086	31876265	31879524	31879752	31874272	31874405	31893581	31893751
84	"ENSG00000100150"	"DEPDC5"	chr22	+	31876156	31876265	31879524	31879752	31874272	31874405	31893581	31893751
85	"ENSG00000100150"	"DEPDC5"	chr22	+	31897481	31897653	31901741	31901802	31893581	31893751	31905983	31906066
86	"ENSG00000185721"	"DRG1"	chr22	+	31400619	31400743	31411011	31411081	31399603	31399725	31420255	31420425
87	"ENSG00000185339"	"TCN2"	chr22	+	30610870	30611063	30612872	30613042	30607173	30607395	30614348	30614501
88	"ENSG00000185339"	"TCN2"	chr22	+	30610870	30611063	30612872	30612961	30607203	30607395	30614348	30614501
89	"ENSG00000185339"	"TCN2"	chr22	+	30612872	30613042	30614348	30614501	30610870	30611063	30615300	30615473
90	"ENSG00000185339"	"TCN2"	chr22	+	30612884	30613042	30614348	30614501	30610870	30611063	30615300	30615473
91	"ENSG00000185339"	"TCN2"	chr22	+	30617329	30617495	30622967	30623083	30615600	30615787	30626459	30627005
93	"ENSG00000100325"	"ASCC2"	chr22	-	29825621	29825780	29834488	29834550	29825086	29825257	29838177	29838276
99	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744704	28745863	28746008	28743881	28743978	28751240	28751288
100	"ENSG00000100209"	"HSCB"	chr22	+	28744614	28744709	28745863	28746008	28743881	28743978	28751240	28751288
101	"ENSG00000183765"	"CHEK2"	chr22	-	28719394	28719485	28725242	28725367	28711908	28712017	28734402	28734721
108	"ENSG00000100077"	"GRK3"	chr22	+	25672295	25672347	25674436	25674528	25667738	25667800	25678815	25678915
