ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46125265	46125311	1	0	185	11	1153	197	149	1	1.0	0.0	0.007	-0.007
2	"ENSG00000142173"	"COL6A2"	chr21	+	46128902	46129808	46129195	46129808	46126502	46126541	2	9	78	39	385	442	149	0.857900074021	0.9572936120085993	0.037	0.033	0.004
5	"ENSG00000182871"	"COL18A1"	chr21	+	45505834	45505966	45505837	45505966	45505357	45505431	5	192	979	47	148	152	149	0.0468506899482	0.08776709327780018	0.161	0.237	-0.076
7	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910724	44910785	7	4	194	23	868	192	149	0.480843105817	0.6183078310284618	0.016	0.02	-0.004
13	"ENSG00000160209"	"PDXK"	chr21	+	43743668	43743807	43743723	43743807	43741666	43741771	13	10	204	26	620	204	149	0.877287238587	0.9722134168034241	0.035	0.03	0.005
14	"ENSG00000160209"	"PDXK"	chr21	+	43755476	43755764	43755697	43755764	43753582	43753719	14	29	489	18	1553	370	149	0.00131413682627	0.0047740041407294004	0.023	0.005	0.018
17	"ENSG00000141959"	"PFKL"	chr21	+	44325731	44326060	44325960	44326060	44325152	44325264	17	194	956	200	592	378	149	0.00506478501577	0.014174250817065113	0.074	0.118	-0.044
19	"ENSG00000159267"	"HLCS"	chr21	-	36756541	36756980	36756541	36756755	36759726	36759841	19	5	67	5	16	374	149	0.0716961197975	0.12577811446581924	0.029	0.111	-0.082
20	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36060281	36060313	20	3	5	17	0	198	149	8.89997406517e-06	8.106594331176766e-05	0.311	1.0	-0.689
21	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36060346	36060526	21	4	6	66	18	198	149	0.0139557867863	0.032013195451433704	0.334	0.734	-0.4
22	"ENSG00000241837"	"ATP5PO"	chr21	-	33903455	33903656	33903455	33903639	33903934	33904021	22	29	1925	11	1753	166	149	0.304940746159	0.4253377479193469	0.013	0.006	0.007
27	"ENSG00000156304"	"SCAF4"	chr21	-	31685048	31685240	31685048	31685174	31685397	31685484	27	71	9	41	32	215	149	8.87208270917e-06	8.098095577428601e-05	0.845	0.47	0.375
41	"ENSG00000251322"	"SHANK3"	chr22	+	50705375	50706152	50706071	50706152	50704963	50705096	41	13	13	101	59	845	149	0.166592775467	0.25719896651186164	0.15	0.232	-0.082
43	"ENSG00000254413"	"CHKB-CPT1B"	chr22	-	50576535	50576637	50576535	50576593	50576856	50577034	43	53	3	31	0	193	149	0.0823842509244	0.14240986005671838	0.932	1.0	-0.068
44	"ENSG00000025770"	"NCAPH2"	chr22	+	50522497	50522569	50522500	50522569	50522342	50522415	44	40	181	26	201	152	149	0.0746208148526	0.13022824608075753	0.178	0.113	0.065
47	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467693	50467531	50467690	50467785	50467923	47	5	4	24	97	152	149	0.0354623647135	0.06956937825764412	0.551	0.195	0.356
48	"ENSG00000100239"	"PPP6R2"	chr22	+	50419345	50419462	50419348	50419462	50418866	50418979	48	16	125	38	177	152	149	0.114871000696	0.1888023333752874	0.111	0.174	-0.063
49	"ENSG00000100239"	"PPP6R2"	chr22	+	50439697	50439857	50439700	50439857	50438598	50438762	49	46	582	0	325	152	149	2.93845165977e-08	6.134193584486369e-07	0.072	0.0	0.072
50	"ENSG00000100239"	"PPP6R2"	chr22	+	50440800	50441026	50440821	50441026	50439960	50440049	50	7	759	0	199	170	149	1	1.0	0.008	0.0	0.008
51	"ENSG00000100239"	"PPP6R2"	chr22	+	50444198	50445090	50444202	50445090	50443865	50444117	51	963	17	195	0	153	149	0.124482465348	0.20205245398561159	0.982	1.0	-0.018
57	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46151887	46151970	57	2	2	7	0	152	149	0.00564403422685	0.015380962730634946	0.495	1.0	-0.505
