ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45494861	45494915	45493500	45493575	45495357	45495432	0	69	360	41	160	176	203	0.280714508241	0.37399703167130144	0.181	0.228	-0.047
11	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33909081	33909211	33903934	33904021	33912288	33912399	11	1419	1463	2489	1900	279	262	0.0443943372333	0.0788136505450437	0.477	0.552	-0.075
12	"ENSG00000166979"	"EVA1C"	chr21	+	32495026	32495170	32501414	32501495	32467695	32467848	32514813	32515389	12	29	1	145	0	293	230	0.281163299093	0.37436372601456847	0.958	1.0	-0.042
14	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32602271	32602367	32582199	32582415	32603160	32603292	14	135	26	372	0	245	294	8.99169627644e-13	3.958181401690016e-11	0.862	1.0	-0.138
16	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32607648	32607716	32609837	32610005	32604124	32604283	32612104	32612146	16	95	52	415	129	317	217	0.0222328670882	0.04432189862222495	0.556	0.688	-0.132
17	"ENSG00000142168"	"SOD1"	chr21	+	31663789	31663886	31666448	31666518	31659692	31659841	31667257	31667375	17	9449	7917	3051	1360	246	219	1.5285621909e-05	9.697378369915587e-05	0.515	0.666	-0.151
31	"ENSG00000215386"	"MIR99AHG"	chr21	+	16537378	16537439	16594339	16594454	16487489	16487538	16606993	16607087	31	38	2	58	0	210	264	0.928715016343	0.9711549417983368	0.96	1.0	-0.04
39	"ENSG00000275895"	"U2AF1L5"	chr21	-	6492130	6492197	6493043	6493110	6487362	6487412	6495992	6496080	39	2	0	7	9	216	216	0.00144270030639	0.004471127242648319	1.0	0.438	0.562
41	"ENSG00000184164"	"CRELD2"	chr22	+	49923233	49923317	49924359	49924455	49922611	49922707	49925416	49925557	41	329	290	333	356	233	245	0.282644596718	0.3752602392062363	0.544	0.496	0.048
42	"ENSG00000054611"	"TBC1D22A"	chr22	+	46797443	46797620	46878652	46878723	46793500	46793841	46891265	46891394	42	60	28	141	76	326	220	0.618822709923	0.7128487650864954	0.591	0.556	0.035
