ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45488417	45488444	45486860	45486992	45489485	45489521	0	0,282,0,0,2	0,112,0,0,4	0,0,0,0,142,0,0,0,0,0,546,0,0,0,0,23	0,0,0,0,24,0,0,2,2,2,204,0,0,0,5,28	212	176	1	1.0	NA,0.676,NA,NA,0.293	NA,NA,NA,NA,0.831,NA,NA,0.0,0.0,0.0,0.69,NA,NA,NA,0.0,0.405	0.209
1	"ENSG00000182871"	"COL18A1"	chr21	+	45488417	45488444	45489485	45489521	45487446	45487509	45490274	45490346	1	0,126,0,0,0	0,271,0,0,4	0,0,0,0,13,0,0,0,0,0,218,0,0,0,0,11	0,0,0,0,149,0,0,0,0,0,610,0,0,0,8,27	176	185	1	1.0	NA,0.328,NA,NA,0.0	NA,NA,NA,NA,0.084,NA,NA,NA,NA,NA,0.273,NA,NA,NA,0.0,0.3	-0.0
2	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45494861	45494915	45493500	45493575	45495357	45495432	2	0,69,0,0,0	0,360,0,0,2	0,0,0,0,41,0,0,0,0,0,167,0,0,0,0,5	0,0,0,0,160,0,0,0,0,0,532,0,0,0,6,5	176	203	1	1.0	NA,0.181,NA,NA,0.0	NA,NA,NA,NA,0.228,NA,NA,NA,NA,NA,0.266,NA,NA,NA,0.0,0.536	-0.167
10	"ENSG00000182670"	"TTC3"	chr21	+	37157160	37157214	37158130	37158203	37156654	37156906	37159698	37159745	10	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0,2,0,0,0,0,13,0,0,0,21,6	0,0,0,0,26,0,4,0,0,0,6,0,0,0,12,0	203	222	1	1.0	NA,0.0,NA,NA,NA	NA,NA,NA,NA,0.0,1.0,0.0,NA,NA,NA,0.703,NA,NA,NA,0.657,1.0	-0.56
11	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36947332	36948287	36938831	36938994	36962035	36962170	11	0,3,0,0,0	0,0,2,0,0	0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,4	0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0	298	295	1	1.0	NA,1.0,0.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,NA,0.682,1.0	-0.17
12	"ENSG00000159267"	"HLCS"	chr21	-	36946008	36946154	36948165	36948287	36938831	36938994	36962035	36962170	12	0,3,0,0,0	0,0,2,0,0	0,0,0,0,9,0,0,2,0,0,8,0,0,0,22,0	0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0	271	295	1	1.0	NA,1.0,0.0,NA,NA	NA,NA,NA,NA,1.0,NA,NA,1.0,NA,NA,0.367,NA,NA,NA,0.8,NA	-0.292
13	"ENSG00000185917"	"SETD4"	chr21	-	36045581	36046011	36048307	36048396	36043781	36043956	36053582	36053620	13	0,14,0,0,0	0,13,0,0,0	0,0,0,0,33,0,0,0,0,0,34,0,0,0,58,10	0,0,0,0,93,0,0,0,0,0,67,0,0,0,26,10	238	298	1	1.0	NA,0.574,NA,NA,NA	NA,NA,NA,NA,0.308,NA,NA,NA,NA,NA,0.389,NA,NA,NA,0.736,0.556	0.077
14	"ENSG00000185917"	"SETD4"	chr21	-	36048307	36048396	36053582	36053620	36045581	36046011	36057108	36057204	14	0,2,0,0,0	0,7,0,0,0	0,0,0,0,46,2,0,0,0,0,23,0,0,0,32,1	0,0,0,0,51,2,0,2,0,0,31,0,0,0,31,3	187	238	1	1.0	NA,0.267,NA,NA,NA	NA,NA,NA,NA,0.534,0.56,NA,0.0,NA,NA,0.486,NA,NA,NA,0.568,0.298	-0.141
15	"ENSG00000185917"	"SETD4"	chr21	-	36053582	36053620	36057108	36057204	36048307	36048396	36058815	36058924	15	0,11,0,0,0	0,9,0,0,0	0,0,0,0,73,0,0,0,0,0,42,0,0,0,0,1	0,0,0,0,16,2,0,0,0,0,24,0,0,0,27,0	245	187	1	1.0	NA,0.483,NA,NA,NA	NA,NA,NA,NA,0.777,0.0,NA,NA,NA,NA,0.572,NA,NA,NA,0.0,1.0	0.013
16	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33909081	33909211	33903934	33904021	33912288	33912399	16	0,1419,4,0,0	0,1463,2,0,4	0,0,0,0,2489,2,4,6,0,6,3266,0,0,0,578,75	0,0,0,0,1900,0,0,0,0,2,2409,0,0,0,464,72	279	262	1	1.0	NA,0.477,0.653,NA,0.0	NA,NA,NA,NA,0.552,1.0,1.0,1.0,NA,0.738,0.56,NA,NA,NA,0.539,0.494	-0.359
