ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46246306	46246886	46254391	46254526	4	180	0	240	35	303	149	1.74172054557e-09	5.4634155516333925e-08	1.0	0.771	0.229
5	"ENSG00000160285"	"LSS"	chr21	-	46191065	46191235	46188140	46188821	46191880	46191959	5	623	6	262	0	319	149	0.278065910671	0.4026578319686457	0.98	1.0	-0.02
6	"ENSG00000160285"	"LSS"	chr21	-	46191075	46191235	46188445	46188821	46191880	46193487	6	680	6	291	0	309	149	0.431991033499	0.5801585646034164	0.982	1.0	-0.018
7	"ENSG00000160285"	"LSS"	chr21	-	46196201	46196267	46195675	46195756	46205835	46205941	7	241	15	96	0	215	149	0.000951955196818	0.0036584843264001157	0.918	1.0	-0.082
8	"ENSG00000160285"	"LSS"	chr21	-	46219475	46219572	46216388	46216524	46221853	46221975	8	103	8	131	1	246	149	0.00186622982696	0.0062881479552756026	0.886	0.988	-0.102
9	"ENSG00000142173"	"COL6A2"	chr21	+	46125265	46125311	46124884	46124920	46125464	46125617	9	243	2	1697	77	195	149	0.000624200417451	0.0025839873112334715	0.989	0.944	0.045
21	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45486860	45486992	45488417	45488444	21	954	0	341	15	212	149	2.53987721088e-06	2.6178277225563268e-05	1.0	0.941	0.059
22	"ENSG00000182871"	"COL18A1"	chr21	+	45489485	45489521	45488417	45488444	45490274	45490346	22	961	6	359	0	185	149	1	1.0	0.992	1.0	-0.008
23	"ENSG00000182871"	"COL18A1"	chr21	+	45494544	45494571	45493500	45493575	45494861	45494915	23	1133	5	331	0	176	149	1	1.0	0.995	1.0	-0.005
24	"ENSG00000182871"	"COL18A1"	chr21	+	45494861	45494915	45494544	45494571	45495357	45495432	24	1471	0	520	24	203	149	3.83937748261e-09	1.0804813842495153e-07	1.0	0.941	0.059
25	"ENSG00000182871"	"COL18A1"	chr21	+	45504415	45504556	45504010	45504054	45505133	45505278	25	898	6	288	0	290	149	0.772603656572	0.9192404444139107	0.987	1.0	-0.013
27	"ENSG00000186866"	"POFUT2"	chr21	-	45266021	45266227	45263927	45265635	45267589	45267713	27	75	46	98	31	355	149	0.0310898002941	0.06220737323036286	0.406	0.57	-0.164
28	"ENSG00000186866"	"POFUT2"	chr21	-	45277232	45277773	45277016	45277142	45278102	45278169	28	65	14	91	74	690	149	0.000115110780082	0.0006442980825984315	0.501	0.21	0.291
30	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282348	45282459	45283351	45283527	30	9	5	6	7	284	149	0.31557370561	0.44716298198472143	0.486	0.31	0.176
31	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282348	45282459	45283382	45283527	31	5	24	6	70	284	149	0.252679938197	0.3726618893631773	0.099	0.043	0.056
34	"ENSG00000186866"	"POFUT2"	chr21	-	45285268	45285328	45283351	45283527	45285677	45285928	34	2	33	0	39	209	149	0.875479716755	1.0	0.041	0.0	0.041
36	"ENSG00000160255"	"ITGB2"	chr21	-	44891808	44891996	44889977	44890222	44893403	44893544	36	233	1	1610	19	337	149	0.100149942459	0.16872932347341937	0.99	0.974	0.016
39	"ENSG00000160255"	"ITGB2"	chr21	-	44908073	44908182	44906914	44907095	44910283	44910372	39	72	70	206	433	258	149	0.00115958058565	0.004295170807640124	0.373	0.216	0.157
42	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44809046	44809118	44817947	44818129	42	215	1	1026	6	392	149	0.536356977837	0.6916534240457535	0.988	0.985	0.003
43	"ENSG00000184900"	"SUMO3"	chr21	-	44813975	44814104	44808996	44809118	44817947	44817968	43	490	1	2215	6	278	149	1	1.0	0.996	0.995	0.001
51	"ENSG00000160216"	"AGPAT3"	chr21	+	43960631	43960779	43959782	43959859	43967945	43968115	51	4	70	0	144	297	149	0.300469398787	0.4290886872225431	0.028	0.0	0.028
54	"ENSG00000160213"	"CSTB"	chr21	-	43774657	43774759	43773665	43774330	43776203	43776308	54	6198	7	24943	104	251	149	1	1.0	0.998	0.993	0.005
56	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43719222	43719381	43734068	43734123	56	7	108	49	337	658	149	0.0301531744238	0.06072761064576561	0.014	0.032	-0.018
60	"ENSG00000160209"	"PDXK"	chr21	+	43748994	43749080	43745702	43746125	43750499	43750545	60	689	8	1843	0	235	149	0.302367109123	0.4312542677226671	0.982	1.0	-0.018
62	"ENSG00000160194"	"NDUFV3"	chr21	+	42896926	42897047	42893267	42893381	42903181	42904276	62	551	1	373	0	270	149	1	1.0	0.997	1.0	-0.003
63	"ENSG00000160194"	"NDUFV3"	chr21	+	42896926	42897047	42893267	42893381	42908863	42913304	63	1286	84	584	8	270	149	2.73701851095e-06	2.7871292294830105e-05	0.894	0.976	-0.082
64	"ENSG00000160194"	"NDUFV3"	chr21	+	42903181	42904276	42896926	42897047	42908863	42909105	64	473	756	932	318	1244	149	0	0.0	0.07	0.26	-0.19
87	"ENSG00000157617"	"C2CD2"	chr21	-	41909458	41909523	41907659	41907784	41912331	41912440	87	16	5	30	0	214	149	0.000375379100099	0.0017095762970552137	0.69	1.0	-0.31
91	"ENSG00000184012"	"TMPRSS2"	chr21	-	41494355	41494578	41489506	41489593	41498118	41498189	91	25	1	304	7	372	149	0.48723938215	0.6411344166175961	0.909	0.946	-0.037
92	"ENSG00000184012"	"TMPRSS2"	chr21	-	41494479	41494578	41489506	41489593	41498118	41498189	92	16	1	53	7	248	149	0.272009742383	0.3954825695257739	0.906	0.82	0.086
97	"ENSG00000183844"	"FAM3B"	chr21	+	41346208	41346407	41345685	41345736	41347012	41347100	97	0	18	16	62	348	149	0.00175558892111	0.005989805961558849	0.0	0.099	-0.099
107	"ENSG00000183527"	"PSMG1"	chr21	-	39179923	39179986	39178448	39178647	39180284	39180436	107	144	21	263	0	212	149	1.10968312317e-09	3.6857235160325936e-08	0.828	1.0	-0.172
111	"ENSG00000205622"	"AP001042.1"	chr21	-	38880591	38880708	38879154	38880372	38893960	38894285	111	0	4	8	0	266	149	1.31618785648e-07	2.153771186615265e-06	0.0	1.0	-1.0
112	"ENSG00000205622"	"AP001042.1"	chr21	-	38880591	38880708	38879154	38880372	38901900	38901965	112	0	2	8	0	266	149	1.29047344366e-06	1.4878358402937464e-05	0.0	1.0	-1.0
118	"ENSG00000157557"	"ETS2"	chr21	+	38806450	38806808	38805950	38806120	38810034	38810106	118	46	120	299	211	507	149	2.0643243559e-08	4.497046603300139e-07	0.101	0.294	-0.193
119	"ENSG00000157557"	"ETS2"	chr21	+	38806690	38806808	38805982	38806120	38810034	38810106	119	9	120	28	211	267	149	0.128051755157	0.20850670908056912	0.04	0.069	-0.029
120	"ENSG00000141959"	"PFKL"	chr21	+	44304274	44304455	44300050	44300190	44306680	44306754	120	0	64	8	332	330	149	0.838228256423	0.9786179814808987	0.0	0.011	-0.011
121	"ENSG00000141959"	"PFKL"	chr21	+	44305799	44305935	44305256	44305417	44306680	44306754	121	4	5	12	11	285	149	0.637355675098	0.7940287781630595	0.295	0.363	-0.068
122	"ENSG00000141959"	"PFKL"	chr21	+	44311005	44311083	44306680	44306754	44312104	44312294	122	113	2	354	15	227	149	0.100435851372	0.1691303342676456	0.974	0.939	0.035
125	"ENSG00000182670"	"TTC3"	chr21	+	37094004	37094090	37091292	37091413	37095349	37095444	125	1	0	36	1	235	149	0.282110111969	0.40759496711904813	1.0	0.958	0.042
130	"ENSG00000182670"	"TTC3"	chr21	+	37158130	37158203	37156654	37156906	37159698	37159745	130	1	9	26	81	222	149	0.0956340835245	0.16215249351637695	0.069	0.177	-0.108
132	"ENSG00000159267"	"HLCS"	chr21	-	36765011	36765172	36759726	36759841	36767217	36767285	132	87	0	68	4	310	149	0.0114710133216	0.027175208865067146	1.0	0.891	0.109
134	"ENSG00000159267"	"HLCS"	chr21	-	36947332	36948287	36938831	36938994	36962035	36962170	134	13	2	0	21	1104	149	1.48114169818e-08	3.445320935909153e-07	0.467	0.0	0.467
135	"ENSG00000159267"	"HLCS"	chr21	-	36948165	36948287	36938831	36938994	36962035	36962170	135	3	2	9	21	271	149	0.283241977704	0.4088678984690371	0.452	0.191	0.261
137	"ENSG00000185917"	"SETD4"	chr21	-	36048307	36048396	36045581	36046011	36053582	36053620	137	30	0	119	22	238	149	0.000217354980824	0.0010932754328605231	1.0	0.772	0.228
138	"ENSG00000185917"	"SETD4"	chr21	-	36057108	36057204	36053582	36053620	36058815	36058924	138	27	5	145	0	245	149	8.78785242147e-05	0.0005169999463169649	0.767	1.0	-0.233
139	"ENSG00000185917"	"SETD4"	chr21	-	36057383	36057477	36057108	36057204	36058815	36058924	139	0	13	30	84	243	149	0.000595748477576	0.002488536634462061	0.0	0.18	-0.18
146	"ENSG00000243927"	"MRPS6"	chr21	+	34125340	34125480	34073577	34073745	34142407	34143030	146	318	8	786	0	289	149	0.00279713704206	0.00869504636325267	0.953	1.0	-0.047
148	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33906500	33903934	33904021	33907340	33907453	148	4	1930	0	2411	201	149	1	1.0	0.002	0.0	0.002
149	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33903934	33904021	33909081	33909211	149	1149	2	2158	0	1154	149	0.634016762413	0.7912514259301462	0.987	1.0	-0.013
150	"ENSG00000241837"	"ATP5PO"	chr21	-	33906725	33906821	33903934	33904021	33907340	33907416	150	6	1930	0	2411	245	149	1	1.0	0.002	0.0	0.002
152	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33903934	33904021	33909081	33909095	152	3046	2	4517	0	262	149	1	1.0	0.999	1.0	-0.001
153	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33903934	33904021	33912288	33912399	153	1463	11	1900	0	262	149	0.665400098797	0.8208460527190143	0.987	1.0	-0.013
154	"ENSG00000241837"	"ATP5PO"	chr21	-	33909081	33909211	33903934	33904021	33912288	33912399	154	1419	11	2489	0	279	149	0.482255664058	0.6359182609020143	0.986	1.0	-0.014
155	"ENSG00000241837"	"ATP5PO"	chr21	-	33909081	33909211	33906448	33907453	33912288	33912399	155	3003	1	5118	12	279	149	1	1.0	0.999	0.996	0.003
156	"ENSG00000159131"	"GART"	chr21	-	33509782	33509920	33505973	33506104	33511251	33511458	156	221	25	319	0	287	149	4.57457849379e-10	1.718792426629502e-08	0.821	1.0	-0.179
158	"ENSG00000243646"	"IL10RB"	chr21	+	33276595	33276753	33267927	33268517	33279751	33279918	158	165	11	790	28	307	149	0.16399055108	0.2581815577961575	0.879	0.932	-0.053
164	"ENSG00000159086"	"PAXBP1"	chr21	-	32750916	32751032	32748498	32748698	32751118	32751218	164	74	11	285	35	265	149	0.726321582923	0.8772073785319329	0.791	0.821	-0.03
167	"ENSG00000242220"	"TCP10L"	chr21	-	32577425	32577676	32576658	32576923	32578693	32578831	167	0	43	1	0	400	149	0.0016696796755	0.0057503952549196324	0.0	1.0	-1.0
171	"ENSG00000166979"	"EVA1C"	chr21	+	32453311	32453508	32412005	32413013	32457596	32457720	171	24	4	187	39	346	149	0.567907389754	0.7233156326648044	0.721	0.674	0.047
172	"ENSG00000166979"	"EVA1C"	chr21	+	32453311	32453508	32412005	32413013	32467695	32467848	172	17	0	97	2	346	149	0.272130097388	0.39560327184942773	1.0	0.954	0.046
173	"ENSG00000166979"	"EVA1C"	chr21	+	32457596	32457720	32412436	32413013	32467695	32467848	173	14	0	104	2	273	149	0.433534868004	0.5820106042364754	1.0	0.966	0.034
174	"ENSG00000166979"	"EVA1C"	chr21	+	32457596	32457720	32452184	32453508	32467695	32467848	174	22	5	155	0	273	149	2.76321273878e-05	0.00019472938274958277	0.706	1.0	-0.294
176	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501486	32495026	32495170	32503925	32504015	176	14	0	5	7	221	149	6.48979635731e-06	5.717101901562538e-05	1.0	0.325	0.675
177	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501495	32495026	32495170	32503925	32504015	177	32	0	66	7	230	149	0.00334139862984	0.01005503810919333	1.0	0.859	0.141
178	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501495	32495026	32495170	32514813	32514880	178	12	2	5	9	230	149	0.00259878531318	0.008201170449977271	0.795	0.265	0.53
179	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32495026	32495170	32503925	32504015	179	14	0	52	7	273	149	0.00458070162039	0.012963361116143761	1.0	0.802	0.198
180	"ENSG00000166979"	"EVA1C"	chr21	+	32503925	32504015	32495116	32495170	32514813	32514880	180	18	2	106	9	239	149	0.687902156974	0.8413074743715608	0.849	0.88	-0.031
181	"ENSG00000166979"	"EVA1C"	chr21	+	32503925	32504015	32501414	32501495	32514813	32514880	181	39	1	160	0	239	149	0.287165581914	0.4135176574027979	0.96	1.0	-0.04
189	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32582199	32582415	32577801	32578831	32603160	32603212	189	57	0	24	4	365	149	0.000957775163499	0.0036788496446814047	1.0	0.71	0.29
190	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32584160	32584305	32582199	32582415	32603160	32603292	190	26	0	0	24	294	149	0	0.0	1.0	0.0	1.0
192	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32602271	32602367	32582199	32582415	32603160	32603292	192	135	0	372	24	245	149	9.26839462154e-05	0.0005400337393075057	1.0	0.904	0.096
194	"ENSG00000159079"	"CFAP298"	chr21	-	32607648	32607716	32604124	32604283	32609837	32609954	194	131	7	469	0	217	149	0.000586749395082	0.0024548482588712065	0.928	1.0	-0.072
195	"ENSG00000265590"	"CFAP298-TCP10L"	chr21	-	32609837	32610005	32607648	32607716	32612104	32612146	195	166	0	760	5	317	149	0.775633401396	0.921852426859555	1.0	0.986	0.014
196	"ENSG00000142207"	"URB1"	chr21	-	32319216	32319414	32317675	32317917	32320530	32320640	196	79	3	101	7	347	149	0.325777974918	0.45922757464500474	0.919	0.861	0.058
197	"ENSG00000142207"	"URB1"	chr21	-	32357536	32357656	32355448	32355565	32359795	32359908	197	2	0	37	17	269	149	0.00463719007242	0.013090008635227418	1.0	0.547	0.453
